project_id,canonical_name,aliases,client,client_type,date_start,date_end,lifecycle_status,sector_activity,geography,scope_decision,fifth_sector_role,intended_beneficiaries,project_objectives,source_coverage,assessment_owner,assessment_status,drive_folder_path,onedrive_folder_path,notes,parent_project_id,phase_name,programme_status,contracting_role,prime_contractor,relationship_evidence,review_status,codebook_version,review_batch
P11-ELFC,East London Fashion Cluster Growth Strategy,,London College of Fashion / Greater London Authority,local_authority,16/06,17/03/14,COMPLETED,fashion_cluster_strategy,East London / Upper Lea Valley,Fashion cluster strategy with value chain analysis baseline data and action plan,DESIGNER;DELIVERER;LEAD_CONSULTANT,Fashion businesses; LCF; GLA; LLDC; local boroughs; fashion workforce,Develop strategy and action plan for East London Fashion Cluster organisation,COMPLETE,Iain,G2_assessed,Archive projects/2017 Projects/2017 East London Fashion Cluster,,BOP Consulting prime; Iain Bennett was lead consultant (confirmed in Appendix E of report); 1502 paras 8 tables 127K chars in main report; 257 paras 6 tables in summary; GLA Economics note included; action plan included; report is STRATEGY not evaluation; all outcomes are proposals/forecasts not realised; commissioned jointly by LCF and GLA,,,,SUBCONTRACTOR,BOP Consulting,BOP Consulting prime; Iain Bennett lead consultant confirmed in report Appendix E,REVIEWED,1.3-candidate,R3-PILOT
P12-KIRK15,Kirklees Creative Economy Analysis 2015,,Kirklees Council,local_authority,15/04,15/06,COMPLETED,creative_economy_baseline,Kirklees West Yorkshire,Creative economy baseline employment and GVA analysis,ADVISOR;INTERPRETER,Kirklees Council; creative sector organisations,Establish creative economy baseline for Kirklees,COMPLETE,Iain,G2_assessed,Archive projects/2015 Projects/2015 Kirklees,,BOP Consulting work; Iain Bennett contributed; data-only source (xlsx with 6 sheets); no final report found in folder (may be in zip); CI employment 3360; CE employment 5020; CI GVA £100.979m; this is the BOP baseline for comparison with later direct Fifth Sector Kirklees work (P10-KIRK); pre-2020 exception project for diff analysis,,,,SUBCONTRACTOR,BOP Consulting,BOP Consulting prime; Iain Bennett contributed; pre-2020 exception,REVIEWED,1.3-candidate,R3-PILOT
P13-CWL,Creativeworks London KE Hub Evaluation,,AHRC / Creativeworks London,public_body,16/03,16/06/01,COMPLETED,ke_hub_evaluation,London,Evaluation of Knowledge Exchange hub for collaborative arts and humanities research,EVALUATOR,AHRC; creative SMEs; early career researchers; universities,Evaluate Creativeworks London KE hub and develop exploitation strategy,COMPLETE,Iain,G2_assessed,Archive projects/2016 Projects/2016 Creativeworks London,,; SPOT-CHECK CORRECTION 26/09/11: Iain led evaluation as BOP Associate Director; contracting_role set to ASSOCIATE | BOP Consulting prime; Iain Bennett contributed; 258 paras 1 table 20K chars; evaluation found most projects too early for clear economic impacts but observed transformations meriting further investigation; identifies spillover evidence gap; counterfactual reasoning explicitly addressed; pre-2020 lighter-touch project,,,,ASSOCIATE,BOP Consulting,BOP Consulting prime; Iain Bennett contributed,REVIEWED,1.3-candidate,R3-PILOT
P14-DCAT,UK Immersive Technology Sector Mapping,,Digital Catapult / Innovate UK,public_body,17/10,18/03/19,COMPLETED,immersive_tech_sector_mapping,national (UK),National immersive tech sector mapping with AI-powered supplier identification cluster case studies and barriers analysis,DESIGNER;DELIVERER;LEAD_CONSULTANT,Digital Catapult; immersive tech SMEs; HEIs; investors; policy makers,Map UK immersive tech sector and identify barriers to growth and strategic opportunities,COMPLETE,Iain,G2_assessed,Archive projects/2018 Projects/2018 Digital Catapult immersive,,BOP Consulting prime; Iain Bennett lead consultant; main report 2748 lines (PDF) + technical report 788 lines 9 tables; 500 active companies mapped; 9 UK clusters investigated; AI-powered supplier identification using Synoptica; qualitative cluster case studies; spillovers explicitly investigated; pre-2020 lighter-touch project,,,,SUBCONTRACTOR,BOP Consulting,BOP Consulting prime; Iain Bennett lead consultant,REVIEWED,1.3-candidate,R3-PILOT
P15-LIVMUS,Liverpool City of Music Strategy,,Culture Liverpool / Liverpool City Council,local_authority,17/08,18/02/06,COMPLETED,music_sector_strategy,Liverpool / Liverpool City Region,Music sector strategy with economic mapping governance recommendations and capital projects,DESIGNER;DELIVERER;LEAD_CONSULTANT,Culture Liverpool; music businesses; musicians; visitor economy; universities,Develop Liverpool City of Music strategy and action plan,COMPLETE,Iain,G2_assessed,Archive projects/2017 Projects/2017 Liverpool City of Music,,BOP Consulting prime; Iain Bennett lead consultant; final strategy 831 lines 7 tables 113K chars; core music sector £100.5m turnover 2360 jobs; Beatles heritage £98m visitor economy; 60+ consultees; 3 scenarios; strategic operational and capital recommendations; pre-2020 lighter-touch project,,,,SUBCONTRACTOR,BOP Consulting,BOP Consulting prime; Iain Bennett lead consultant,REVIEWED,1.3-candidate,R3-PILOT
P16-CICP,CICP Impact and Delivery Evaluation,,UKRI / AHRC,public_body,20,UNKNOWN,COMPLETED,evaluation_design,national (UK),Evaluation approach design for Creative Industries Clusters Programme and PEC,ADVISOR;INTERPRETER,UKRI; AHRC; CICP clusters; PEC,Design evaluation framework for CICP including counterfactual methods and spillover capture,COMPLETE,Iain,G2_assessed,Archive projects/Google project folders/2020/UKRI AHRC - Creative Industries Clusters Progr - (2020-2024),,BOP Consulting prime with Frontier Economics; Iain contributed sector/workforce mapping and methodology design; marginal claim; evaluation approach document only not outcome report; 84 paras 1 table,,,NOT_APPLICABLE,SUBCONTRACTOR,BOP Consulting / Frontier Economics,Iain confirmed 26/09/11: sector/workforce mapping and methodology design contribution via BOP,REVIEWED,1.3-candidate,G2-BATCH-B
P17-LCRCSU,Leeds City Region Creative Scale Up Evidence Base,,Leeds City Region / WYCA,combined_authority,20,20/07,COMPLETED,creative_industries_mapping,Leeds City Region,Evidence base for Creative Scale Up programme bid,DESIGNER;DELIVERER;LEAD_CONSULTANT,WYCA; creative businesses; LEP,Produce evidence base supporting Leeds City Region candidacy for Creative Scale Up extension,COMPLETE,Iain,G2_assessed,Archive projects/2020 Projects/2020 Leeds City Region Creative Scale Up,,Iain Bennett lead consultant; 200 paras 1 table; bid evidence not outcome evaluation; BRES and ONS analysis; LQ cluster analysis; Channel 4 relocation context,,,NOT_APPLICABLE,PRIME,The Fifth Sector,Prepared by Iain Bennett The Fifth Sector Ltd (line 198); data credited to Fifth Sector (lines 20 35),REVIEWED,1.3-candidate,G2-BATCH-B
P18-GRIMSBY,Grimsby Cultural and Creative Industries Baseline,,North East Lincolnshire Council / Magna Vitae,local_authority,19,20/03,COMPLETED,cultural_development_scoping,Greater Grimsby / North East Lincolnshire,CDF scoping and programme development for Open for Culture programme,ADVISOR;DATA_CONTRIBUTOR,NELC; Magna Vitae; Grimsby cultural sector; residents,Phase 1 research and recommendations for CDF Open for Culture programme,COMPLETE,Iain,G2_assessed,Archive projects/2020 Projects/2020 Grimsby CCI,,Fifth Sector contributed mapping data; Magna Vitae authored report as delivery partner to NELC; 60 pages; participation baselines from national surveys; no economic output baselines; design propositions not outcomes,,,NOT_APPLICABLE,SUBCONTRACTOR,Magna Vitae,Iain confirmed 26/09/11: Fifth Sector contributed mapping data to NE Lincs study,REVIEWED,1.3-candidate,G2-BATCH-B
P19-LCRIMM,LCR Immersive Technology Sector Mapping,,Growth Platform / LCR,combined_authority,19,20/05,COMPLETED,immersive_tech_sector_mapping,Liverpool City Region,Mapping and strategy for immersive tech and content sector,DESIGNER;DELIVERER;LEAD_CONSULTANT,Growth Platform; immersive tech SMEs; HEIs; investors,Map LCR immersive ecosystem and identify barriers and strategic opportunities,COMPLETE,Iain,G2_assessed,Archive projects/2019 Projects/2019 LCR Growth Company Immersive tech,,Iain Bennett as BOP Consulting author (line 18); 57 pages; 169 organisations mapped; survey n=56; cross-sector case studies (Draw and Code Kinicho VEC/Bentley); work began 2019 delivered 20/05; listed as post-2020 replacement per Iain,,,NOT_APPLICABLE,SUBCONTRACTOR,BOP Consulting,Prepared by Iain Bennett and Marta Moretto BOP Consulting (line 18); Growth Platform commissioned from BOP (lines 121-122),REVIEWED,1.3-candidate,G2-BATCH-B
P20-SYMCA21,SYMCA Cultural and Creative Industries Research 2021,,South Yorkshire Mayoral Combined Authority,combined_authority,21/12,22/06,COMPLETED,creative_industries_mapping,South Yorkshire,Data research and mapping of creative sectors for SYMCA,DESIGNER;DELIVERER;LEAD_CONSULTANT,SYMCA; creative businesses; sector organisations,Map creative industries scale profile and dynamics for policy and investment,COMPLETE,Iain,G2_assessed,Archive projects/2021 Projects/2021 SYMCA CCI research,,Fifth Sector lead consultant with Curator Technologies and Morra; 324 paras; BRES LinkedIn IDBR Companies House FAME Beauhurst; 4000+ companies 31000 workforce vs 2895/13500 official; creative growth paradox finding,,,NOT_APPLICABLE,PRIME,The Fifth Sector,The Fifth Sector began work 21/12 (line 42); data credited throughout (lines 76 82 88 etc),REVIEWED,1.3-candidate,G2-BATCH-B
P21-MMUCCI,MMU Cultural and Creative Industries Positioning,,Manchester Metropolitan University,university,22/03,22/08,COMPLETED,cci_positioning_audit,Manchester,Strategic positioning and stakeholder engagement audit for MMU CCI offer,DESIGNER;DELIVERER;LEAD_CONSULTANT,MMU; CCI sector; students; external stakeholders,Audit MMU CCI offer and recommend narrative and engagement improvements,COMPLETE,Iain,G2_assessed,Archive projects/2021 Projects/2021 MMU CCI,,Fifth Sector lead consultant (www.thefifthsector.co.uk line 24); 521 paras; stakeholder interviews Mar-22/08; desk research; benchmarking; no turnover/GVA baselines; REF 2021 results; network gap findings; MERGED 26/09/11: P55 ManMet CCI report (221013 Man Met CCI reportrcibv2.docx) is final deliverable from this commission; folder 2022 ManMet CCI offer merged here,,,NOT_APPLICABLE,PRIME,The Fifth Sector,Report carries www.thefifthsector.co.uk (line 24); Fifth Sector-delivered response (line 71),REVIEWED,1.3-candidate,G2-BATCH-B
P22-LCRFILM,LCR Film and TV Production Fund Interim Evaluation,,Liverpool Film Office / Liverpool City Region,combined_authority,20/09,21/02,COMPLETED,film_fund_evaluation,Liverpool City Region,Interim evaluation of LCR Film and TV Production Fund capital and revenue,DESIGNER;DELIVERER;EVALUATOR;LEAD_CONSULTANT,Liverpool Film Office; LCR; film/TV productions; LCR crew,Evaluate fund delivery outputs and propose scenario options for recapitalisation,COMPLETE,Iain,G2_assessed,Archive projects/2020 Projects/2020 Liverpool Film Fund evaluation,,Iain Bennett of The Fifth Sector for Liverpool Film Office (lines 225-231); 232 paras 5 tables; £6.76 leverage per £1; 455 indirect FTE; Development Fund seeded 7 pipeline projects; recoupment projections are estimates; richest documented output data in post-2020 cohort,,,NOT_APPLICABLE,PRIME,The Fifth Sector,Prepared by Iain Bennett of The Fifth Sector Limited for Liverpool Film Office (lines 225-231); tables sourced as Fifth Sector analysis (lines 71 96 103),REVIEWED,1.3-candidate,G2-BATCH-B
P23-DERBY,Derby and Derbyshire Screen Agency Feasibility,,Derby City Council / Derbyshire County Council,local_authority,22,22/08,COMPLETED,feasibility_study,Derby and Derbyshire,Feasibility study for joint Derby and Derbyshire Film Office,DESIGNER;DELIVERER;LEAD_CONSULTANT,Derby City Council; Derbyshire County Council; screen sector,Assess feasibility of joint film office and recommend operating model,COMPLETE,Iain,G2_assessed,Archive projects/2022 Projects/2022 Derby Screen Agency,,Fifth Sector lead consultant; 27 pages; survey n=17; Liverpool Film Office comparator; no local baseline data; design proposition for 2 FTE start-up; staged growth option,,,NOT_APPLICABLE,PRIME,The Fifth Sector,Document describes The Fifth Sector and its methods (line 11); commissioned by Derby City Council and Derbyshire County Council,REVIEWED,1.3-candidate,G2-BATCH-B
P24-SYMCACGP,SYMCA Create Growth Programme Final Report,,South Yorkshire Mayoral Combined Authority,combined_authority,22,22/12,COMPLETED,creative_industries_mapping,South Yorkshire,Data research and mapping for SYMCA to inform Create Growth and Arts Culture Heritage strategy,DESIGNER;DELIVERER;LEAD_CONSULTANT,SYMCA; creative businesses; sector organisations; education providers,Map CCI scale and dynamics and identify strategic opportunities for South Yorkshire,COMPLETE,Iain,G2_assessed,Archive projects/2022 Projects/2022 SYMCA Create Growth,,Fifth Sector lead with Curator Technologies; 370 paras 4 tables; BRES LinkedIn IDBR Companies House FAME Beauhurst; 4025 companies 31000 workforce; GVA up to £2bn; creative growth paradox; 1013 courses; 5 apprenticeships; extends P20-SYMCA21 work,,,NOT_APPLICABLE,PRIME,The Fifth Sector,Cited as The Fifth Sector 2022 and The Fifth Sector/Curator Technologies 2022 throughout (lines 76 82 88 etc),REVIEWED,1.3-candidate,G2-BATCH-B
P25-LANCGP,Lancashire Create Growth Programme Bid,,Lancashire LEP / Lancashire County Council,LEP,22,22/09,COMPLETED,bid_development,Lancashire,DCMS Create Growth Programme full application for Lancashire,DESIGNER;ADVISOR;DATA_CONTRIBUTOR,Lancashire LEP; creative businesses; Lancashire County Council,Develop DCMS Create Growth bid with evidence base and programme design,COMPLETE,Iain,G2_assessed,Archive projects/2022 Projects/2022 Lancashire Create Growth,,Fifth Sector cited as data source (lines 197 1427 1430); applicant is Lancashire LEP/County Council; 42 pages; grant application not outcome report; 4500 businesses 36000 jobs; 4 hubs proposed; £1.275m budget; Pennine Originals spillover into aerospace/automotive; BID UNSUCCESSFUL - programme not awarded (Iain confirmed 26/09/11),,,NOT_AWARDED,SUBCONTRACTOR,Lancashire LEP / Lancashire County Council,Fifth Sector analysis of Companies House via Beauhurst (lines 197 1427); Curator Technologies/Fifth Sector LinkedIn (lines 199 1430),REVIEWED,1.3-candidate,G2-BATCH-B
P26-WSBH,West Sussex Brighton and Hove Lewes CI Strategy,,Greater Brighton Economic Board / Coastal West Sussex Partnership,partnership,22/12,23/04,COMPLETED,creative_industries_strategy,West Sussex / Brighton and Hove / Lewes District,CI strategy with evidence base and mapping for sub-regional partnership,DESIGNER;DELIVERER;LEAD_CONSULTANT,Greater Brighton Economic Board; Coastal West Sussex; creative businesses; universities,Map creative industries and develop strategy with recommendations,COMPLETE,Iain,G2_assessed,Archive projects/2022 Projects/2022 West Sussex Brighton Hove Lewes,,Fifth Sector lead with Curator Technologies and Morra; 607 paras 6 tables; 10225 companies 54428 workforce; BRES 2021; Createch strengths; Digital Catapult Brighton; FuseBox24; Creative Assembly and Red River as anchor investors; 3-phase investment plan,,,NOT_APPLICABLE,PRIME,The Fifth Sector,The Fifth Sector began work 22/12 (line 75); Fifth Sector/Curator Technologies 2023 (lines 168 190 etc); Fifth Sector/Morra 2023 (line 387),REVIEWED,1.3-candidate,G2-BATCH-B
P27-WAKECDF,Wakefield Cultural Development Fund Evaluation,,Wakefield Council,local_authority,22,25/09,COMPLETED,cultural_development_fund_evaluation,Wakefield,Evaluation of CDF programme covering capital revenue skills and network development,DESIGNER;DELIVERER;EVALUATOR;LEAD_CONSULTANT,Wakefield Council; Production Park; cultural organisations; residents,Evaluate CDF delivery outputs and assess value for money and legacy,COMPLETE,Iain,G2_assessed,Archive projects/2025 Projects/2022 Wakefield CDF - Local Programme Evaluation,,Iain Bennett and Steve Hunt The Fifth Sector for Wakefield Council (line 11); 556 paras 14 tables; £4.38m CDF grant £22.03m total; CCI employment +32% 2020-2023; GVA +79%; Creative Wakefield +458% members; CoSTAR secured; 10 new-to-market products; INTERNAL INCONSISTENCY: 120 vs 160 FTE jobs; richest evaluation evidence in post-2020 cohort,,,NOT_APPLICABLE,PRIME,The Fifth Sector,Prepared by Iain Bennett and Steve Hunt The Fifth Sector Limited for Wakefield Council (line 11),REVIEWED,1.3-candidate,G2-BATCH-B
P28-CALDER,Calderdale CCI Research Report,,Calderdale Council,local_authority,23,23/12,COMPLETED,creative_industries_mapping,Calderdale,CCI research to inform investment planning 2024-2029,DESIGNER;DELIVERER;LEAD_CONSULTANT,Calderdale Council; creative businesses; cultural organisations,Map CCI scale and dynamics and identify investment priorities,COMPLETE,Iain,G2_assessed,Archive projects/2023 Projects/2023 Calderdale,,Produced by The Fifth Sector Limited (line 9); 639 paras 18 tables; ONS/IDBR BRES 2022 Companies House Beauhurst LinkedIn; 655 ONS firms 880 Beauhurst; 2360 BRES employment; 7375 LinkedIn workforce; music deep dive; Screen Yorkshire Connected Campus; Cultural Compact proposed,,,NOT_APPLICABLE,PRIME,The Fifth Sector,Produced by The Fifth Sector Limited on behalf of Calderdale Council (line 9),REVIEWED,1.3-candidate,G2-BATCH-B
P29-SOLENTCGP,Solent Create Growth Programme Bid Development,,Solent LEP,LEP,23,23/09,COMPLETED,bid_development,Solent,DCMS Create Growth Programme expansion full application for Solent,DESIGNER;ADVISOR;DATA_CONTRIBUTOR,Solent LEP; creative businesses; universities,Develop CGP expansion bid with market awareness research and programme design,COMPLETE,Iain,G2_assessed,Archive projects/2023 Projects/2023 Solent CGP,,Fifth Sector appointed as creative sector specialist consultancy for market awareness research (line 191); DRAFT application; 59 paras 6 tables; 4510 businesses 40000 jobs £1.5bn GVA; Createch cohort with maritime/aerospace/logistics spillovers; Solent Creative Investment Framework proposed; BID UNSUCCESSFUL - programme not awarded (Iain confirmed 26/09/11),,,NOT_AWARDED,SUBCONTRACTOR,Solent LEP,Solent CGP appointed The Fifth Sector to conduct Market Awareness research (line 191),REVIEWED,1.3-candidate,G2-BATCH-B
P30-HEREFORD,Herefordshire Culture Strategy Review,,Herefordshire Council,local_authority,24,24/06,COMPLETED,culture_strategy_review,Herefordshire,Mid-point review of 10-year cultural strategy 2019-2029,DESIGNER;DELIVERER;LEAD_CONSULTANT,Herefordshire Council; cultural sector; residents,Review progress of cultural strategy and recommend course corrections,COMPLETE,Iain,G2_assessed,Archive projects/2024 Projects/2024 Herefordshire,,Iain confirmed 26/09/11: Lead consultant; 225 paras; 590 official businesses 4000+ LinkedIn; 100 post-16 courses; 56% graduate leakage; rural creative economy models; fragmented ecosystem; cultural compact proposed; comparator analysis (Cornwall Cumbria Lincolnshire),,,NOT_APPLICABLE,PRIME,The Fifth Sector,Iain confirmed lead consultant 26/09/11,REVIEWED,1.3-candidate,G2-BATCH-B
P31-PRODPARK,Production Park GVA Study,,Production Park / Wakefield Council,partnership,24,24/07,COMPLETED,gva_data_fragment,West Yorkshire / Wakefield,GVA data fragment for Production Park area,DESIGNER;DELIVERER,Production Park; Wakefield Council,Provide employment and GVA data for Production Park area,COMPLETE,Iain,G2_assessed,Archive projects/2024 Projects/2024 Production Park GVA,,Data fragment only; 11 paras 1 table; LinkedIn industry codes mapped to BRES SIC07; BRES 2022 columns empty; no narrative; no spillover evidence; incomplete extract; supplements P27-WAKECDF evaluation,,,NOT_APPLICABLE,PRIME,The Fifth Sector,Folder in Fifth Sector archive; supplements Wakefield CDF work,REVIEWED,1.3-candidate,G2-BATCH-B
P32-SURREY,Surrey+ Creative Corridor Strategic Framework,,Surrey County Council / Surrey+ partnership,partnership,24,25/08,COMPLETED,creative_corridor_strategy,Surrey+ corridor,Regional creative economy strategy and investment framework,DESIGNER;DELIVERER;LEAD_CONSULTANT,Surrey County Council; creative businesses; freelancers; universities,Develop creative corridor strategy with evidence base and investment case,COMPLETE,Iain,G2_assessed,Archive projects/2024 Projects/2024 Surrey+ Corridor,,Iain confirmed 26/09/11: Lead consultant; 212 paras; £7.2bn annual value; 17000 companies; 115000 workforce; 12% growth since 2019; 43% freelance; aerospace-to-screen spillover (Farnborough hangars to sound stages); CoSTAR/Games Innovation Zone; £3-4m investment ask with modelled returns,,,NOT_APPLICABLE,PRIME,The Fifth Sector,Iain confirmed lead consultant 26/09/11,REVIEWED,1.3-candidate,G2-BATCH-B
