request_id,client,contact_name,project_ids,permission_scope,proposed_wording,request_channel,date_sent,response_date,status,notes
PR-25,Suffolk County Council,,P37,CITE_AS_DELIVERED,May we cite the renewable energy programme business case as delivered work?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-26,City St George's University,,P73,CITE_AS_DELIVERED,May we cite the performing-arts value chain analysis?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-27,University of South Wales,,P85-AMGEN,CITE_AS_DELIVERED,May we cite the Places-derived microcluster evidence pack delivered for the AMGEN CICP2 bid?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-28,Creative Scotland,,P86-CSSAL,CITE_AS_DELIVERED,Once contract signed: may we cite the salary benchmarking framework work? (Hold until award confirmed.),,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-29,University of Liverpool,,P63,CITE_AS_DELIVERED,May we cite the Heritage CPD scoping work?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-30,Calderdale Council,,P28-CALDER,CITE_AS_DELIVERED,May we cite the Calderdale CCI research report?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-31,Greater Brighton Economic Board,,P26-WSBH,CITE_AS_DELIVERED,"May we cite the WSBH CI strategy (10,225 companies/54,428 workforce)?",,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-32,Creative Wakefield,,P48,CITE_AS_DELIVERED,May we cite the skills pathways research and Tableau diagnostic?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-33,Kirklees Council,,P12-KIRK15,CITE_CONTRIBUTION,May we cite the 2015 creative economy analysis contribution?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-34,Digital Catapult / Innovate UK,,P14-DCAT,CITE_CONTRIBUTION,May we cite lead-consultant contribution to Engaging with New Realities?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-35,LCF / GLA,,P11-ELFC,CITE_CONTRIBUTION,May we cite lead-consultant contribution to the East London Fashion Cluster strategy?,,,,DRAFTED,Seeded 26/09/12 cardless batch
