measurement_id,claim_id,metric,numerator,denominator,unit,population,baseline,geography,time_horizon,comparison,attribution_assumptions,calculation,model_version,sensitivity,overlap_group_id,notes,source_ids,value_basis,value_review_status,amount_role,currency_price_basis,uncertainty,reviewer,review_date,option_holder,exercise_trigger,expiry,exercise_cost,maintenance_cost,delay_cost,constrained_alternative,probability_basis,codebook_version,review_batch
MEAS-G2-001,C-G2-025,LCR creative industries employment,58840,,workers,Leeds City Region creative economy,44420 (2015),Leeds City Region,18,National average growth lower,BRES time series 2015-2018,BRES employment analysis via Nomisweb,v1,BRES excludes freelancers below VAT threshold,,LCRCSU employment baseline,SRC-G2-012,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,BRES official data; excludes freelancers,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-002,C-G2-025,LCR CI employment growth,14420,,jobs,Leeds City Region creative economy,44420 (2015),Leeds City Region,15-18,,Net increase 2015-2018,BRES year-over-year comparison,v1,32% growth rate,,LCRCSU employment growth,SRC-G2-012,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-003,C-G2-027,Grimsby arts participation rate,27.3,,percent,Grimsby residents,34.6 (national),Grimsby,17,National average 34.6%,Active Lives Survey,Arts participation from Active Lives Survey,v1,National survey sub-sample for Grimsby,,Grimsby participation baseline,SRC-G2-013,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,percent,Sub-sample for local area,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-004,C-G2-028,LCR immersive organisations,169,,organisations,LCR immersive ecosystem,,Liverpool City Region,20,,AI web search + LinkedIn mapping,AI-powered web search company database,v1,SIC/SOC codes cannot capture immersive sector,,LCRIMM ecosystem size,SRC-G2-014,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,AI web search estimate; survey self-selecting,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-005,C-G2-028,LCR immersive companies,126,,companies,LCR immersive companies,,Liverpool City Region,20,,Of which 114 LCR-based,AI web search company database,v1,,,LCRIMM company count,SRC-G2-014,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-006,C-G2-032,SYMCA CI company count (LinkedIn/Beauhurst),4000,,companies,South Yorkshire creative economy,2895 (IDBR official),South Yorkshire,22,Official IDBR 2895,Companies House cleansed + Beauhurst,Companies House cleansed + Beauhurst,v1,LinkedIn not comparable to BRES; BRES undercounts freelancers,,SYMCA21 company baseline,SRC-G2-015,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,Companies House cleansed 4025 businesses,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-007,C-G2-032,SYMCA CI workforce (LinkedIn),31000,,workers,South Yorkshire creative economy,13500 (BRES official),South Yorkshire,22,Official BRES 13500,LinkedIn workforce profiling,LinkedIn via Curator Technologies,v1,LinkedIn captures freelancers missed by BRES; 60% freelance estimated,,SYMCA21 workforce baseline,SRC-G2-015,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,LinkedIn overcounts vs BRES,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-008,C-G2-033,SYMCA full accounts filers,4.8,,percent,South Yorkshire creative companies,,South Yorkshire,22,,Companies House analysis,Companies House filing analysis,v1,,,SYMCA21 creative growth paradox,SRC-G2-015,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,percent,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-009,C-G2-033,SYMCA R&D grant recipients,101,,companies,South Yorkshire creative companies,,South Yorkshire,22,,Beauhurst R&D grant tracking,Beauhurst analysis,v1,<2% of total,,SYMCA21 R&D access,SRC-G2-015,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-010,C-G2-033,SYMCA equity investments,36,,investments,South Yorkshire creative companies,,South Yorkshire,22,,Beauhurst equity tracking,Beauhurst analysis,v1,,,SYMCA21 equity investment,SRC-G2-015,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-011,C-G2-033,SYMCA spinouts,8,,spinouts,South Yorkshire creative companies,,South Yorkshire,22,,Beauhurst spinout tracking,Beauhurst analysis,v1,,,SYMCA21 spinouts,SRC-G2-015,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-012,C-G2-033,SYMCA scale-ups,6,,scale-ups,South Yorkshire creative companies,,South Yorkshire,22,,Beauhurst scale-up tracking,Beauhurst analysis,v1,,,SYMCA21 scale-ups,SRC-G2-015,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-013,C-G2-037,LCR Film Fund leverage ratio,6.76,,GBP per GBP,LCR Film Fund investments,,Liverpool City Region,21,Target 3:1 film 5:1 TV,LFO management data,LFO financial records,v1,COVID shut filming Mar-20/07,,LCRFILM leverage,SRC-G2-017,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,GBP nominal,Documented from LFO data,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-014,C-G2-037,LCR Film Fund LCR spend,12080000,,GBP,LCR Film Fund investments,,Liverpool City Region,21,,LFO management data,LFO financial records,v1,,,LCRFILM total spend,SRC-G2-017,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-015,C-G2-037,LCR Film Fund capital invested,1788000,,GBP,LCR Film Fund capital,,Liverpool City Region,21,,LFO management data,LFO financial records,v1,Of £2m capital budget,,LCRFILM capital deployed,SRC-G2-017,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-016,C-G2-038,LCR Film Fund indirect FTE jobs,455,,FTE,LCR film/TV productions,,Liverpool City Region,21,Target 280 FTE,LFO monitoring data,LFO job tracking,v1,COVID distorted investment profile,,LCRFILM indirect FTE,SRC-G2-017,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,FTE,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-017,C-G2-038,LCR Film Fund cost per FTE,3930,,GBP per FTE,LCR Film Fund,,Liverpool City Region,21,Business case estimate £6900,LFO financial data / FTE count,Cost per FTE calculation,v1,Below business case estimate,,LCRFILM cost per FTE,SRC-G2-017,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,BENEFIT,GBP per FTE,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-018,C-G2-039,Development Fund deployed,173604,,GBP,LCR Development Fund,,Liverpool City Region,21,Target £250000,LFO management data,LFO financial records,v1,,,LCRFILM Development Fund,SRC-G2-017,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-019,C-G2-039,Development Fund companies supported,17,,companies,LCR Development Fund,,Liverpool City Region,21,Target 12,LFO monitoring data,LFO company tracking,v1,,,LCRFILM Dev Fund companies,SRC-G2-017,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-020,C-G2-039,Development Fund jobs supported,43,,jobs,LCR Development Fund,,Liverpool City Region,21,Target 30,LFO monitoring data,LFO job tracking,v1,,,LCRFILM Dev Fund jobs,SRC-G2-017,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-021,C-G2-043,SYMCA CCI GVA (upper estimate),2000000000,,GBP,South Yorkshire creative economy,,South Yorkshire,22,ONS national average would exceed £1bn,DCMS GVA + ONS productivity index,DCMS GVA estimation with ONS regional productivity,v1,Generic ONS productivity index; BRES pre-pandemic,,"SYMCACGP GVA upper; QA FIX 26/09/11: Upper bound estimate; £2bn relies on generic ONS regional productivity index applied to LinkedIn workforce estimate (4025 companies 31000 workforce); BRES data is pre-pandemic; ""up to"" language in claim preserves uncertainty; per user decision A",SRC-G2-019,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,Modelled estimate using generic productivity index,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-022,C-G2-044,SYMCA CCI multiplier,2.46,,FTE per FTE,South Yorkshire arts/culture,,South Yorkshire,22,,DCMS modelling,DCMS total footprint multiplier,v1,Contextual not intervention effect,,SYMCACGP multiplier,SRC-G2-019,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,FTE per FTE,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-023,C-G2-045,SYMCA creative courses,1013,,courses,South Yorkshire and wider TTVA,,South Yorkshire,22,,Course/qualification audit,Course mapping across providers,v1,,,SYMCACGP courses,SRC-G2-019,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-024,C-G2-045,SYMCA creative apprenticeships,5,,apprenticeships,South Yorkshire,,South Yorkshire,22,,Course/qualification audit,Apprenticeship mapping,v1,,,SYMCACGP apprenticeships,SRC-G2-019,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-025,C-G2-047,Lancashire CI businesses,4500,,businesses,Lancashire creative economy,,Lancashire,22,,IDBR + Beauhurst,IDBR 21/04 + Beauhurst,v1,,,LANCGP business count,SRC-G2-020,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-026,C-G2-047,Lancashire CI jobs,36000,,jobs,Lancashire creative economy,,Lancashire,22,6% of workforce,IDBR + Beauhurst,IDBR + Beauhurst analysis,v1,,,LANCGP job count,SRC-G2-020,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-027,C-G2-049,WSBH CI companies (Beauhurst),10225,,companies,WSBH area creative economy,7470 (official IDBR),West Sussex/Brighton/Hove/Lewes,23,Official IDBR 7470,Beauhurst + LinkedIn,Beauhurst active businesses + LinkedIn,v1,Beauhurst 38.6% greater than official,,WSBH company count,SRC-G2-021,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-028,C-G2-049,WSBH CI workforce (LinkedIn),54428,,workers,WSBH area creative economy,23690 (BRES official),West Sussex/Brighton/Hove/Lewes,23,Official BRES 23690,LinkedIn workforce profiling,LinkedIn via Curator Technologies,v1,LinkedIn not comparable to BRES; 21000 freelance (38.9%),,WSBH workforce,SRC-G2-021,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-029,C-G2-052,Wakefield CDF total value,22030000,,GBP,CDF programme total,,Wakefield,25,,Financial records,Council financial records,v1,Construction overruns required additional £2.1m Council funding,,WAKECDF total value,SRC-G2-022,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-030,C-G2-052,Wakefield CDF grant,4380000,,GBP,CDF grant from DCMS,,Wakefield,25,,Financial records,Council financial records,v1,,,WAKECDF grant,SRC-G2-022,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-031,C-G2-052,Wakefield CDF private leveraged,6060000,,GBP,Private/partner capital leveraged,,Wakefield,25,,Financial records,Council financial records,v1,,,WAKECDF private leverage,SRC-G2-022,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-032,C-G2-053,Wakefield CCI employment growth,32,,percent,Wakefield CCI,2210 (2020),Wakefield,20-23,,ONS BRES,BRES 2020 vs 2023,v1,Modelled not causal; ONS business count fell slightly,,WAKECDF employment growth,SRC-G2-022,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,percent,Report uses correlates with language,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-033,C-G2-053,Wakefield CCI employment (2023),2910,,workers,Wakefield CCI,2210 (2020),Wakefield,23,,ONS BRES,BRES 2023,v1,,,WAKECDF employment 2023,SRC-G2-022,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-034,C-G2-053,Wakefield CCI GVA growth,79,,percent,Wakefield CCI,52.8 (2020),Wakefield,20-23,,DCMS GVA estimation,DCMS GVA estimates,v1,Modelled not causal,,WAKECDF GVA growth,SRC-G2-022,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,percent,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-035,C-G2-053,Wakefield CCI GVA (2023),94200000,,GBP,Wakefield CCI,52800000 (2020),Wakefield,23,,DCMS GVA estimation,DCMS GVA estimates,v1,,,WAKECDF GVA 2023,SRC-G2-022,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-036,C-G2-054,Creative Wakefield network growth,458,,percent,Creative Wakefield members,150 (20/04),Wakefield,20-24,,Membership data,Creative Wakefield membership records,v1,,,WAKECDF network growth,SRC-G2-022,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,percent,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-037,C-G2-054,Creative Wakefield members (2024),837,,members,Creative Wakefield network,150 (20/04),Wakefield,24,,Membership data,Creative Wakefield membership records,v1,,,WAKECDF network size,SRC-G2-022,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-038,C-G2-055,XPLOR new-to-market products,10,,products,XPLOR enterprises,,Wakefield,25,,Programme monitoring data,XPLOR monitoring records,v1,Specific companies listed in Table 13,,WAKECDF new products,SRC-G2-022,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-039,C-G2-055,XPLOR new-to-firm products,20,,products,XPLOR enterprises,,Wakefield,25,,Programme monitoring data,XPLOR monitoring records,v1,,,WAKECDF new-to-firm,SRC-G2-022,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-040,C-G2-057,Creative Leadership participants,15,,participants,Creative Leadership programme,,Wakefield,25,,Programme monitoring,Programme records,v1,From 11 sub-sectors,,WAKECDF leadership,SRC-G2-022,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-041,C-G2-057,Creative Leadership collaborations,12,,collaborations,Creative Leadership programme,,Wakefield,25,,Programme monitoring,Programme records,v1,Cross-sector collaborations,,WAKECDF collaborations,SRC-G2-022,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-042,C-G2-058,Wakefield jobs (exec summary),120,,FTE,CDF programme,,Wakefield,25,Main body says 160,Executive summary Table 1,Executive summary,v1,INTERNAL INCONSISTENCY with 160 FTE in main body,,WAKECDF jobs (exec summary),SRC-G2-022,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,FTE,Source inconsistency: 120 vs 160 FTE,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-043,C-G2-058,Wakefield jobs (main body),160,,FTE,CDF programme,,Wakefield,25,Exec summary says 120,Main body Table 14,Main body Table 14,v1,INTERNAL INCONSISTENCY with 120 FTE in exec summary,,WAKECDF jobs (main body),SRC-G2-022,OBSERVED_AMOUNT,NOT_REVIEWED,BENEFIT,FTE,Source inconsistency: 120 vs 160 FTE,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-044,C-G2-059,Calderdale ONS firms,655,,firms,Calderdale CCI,,Calderdale,23,,ONS/IDBR,ONS IDBR 2015-2023,v1,,,CALDER ONS firms,SRC-G2-023,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-045,C-G2-059,Calderdale BRES employment,2360,,workers,Calderdale CCI,,Calderdale,23,,BRES 2022,BRES 2022,v1,,,CALDER BRES employment,SRC-G2-023,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-046,C-G2-059,Calderdale LinkedIn workforce,7375,,workers,Calderdale CCI,,Calderdale,23,,LinkedIn 23/07,LinkedIn via Curator Technologies,v1,LinkedIn not comparable to BRES; 83% report employment status,,CALDER LinkedIn workforce,SRC-G2-023,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-047,C-G2-062,Solent CI businesses,4510,,businesses,Solent creative economy,42000 (total all sectors),Solent,23,10.7% of total,Beauhurst,Beauhurst 23/09,v1,Beauhurst 33% higher than IDBR,,SOLENTCGP business count,SRC-G2-024,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-048,C-G2-062,Solent CI jobs,40000,,jobs,Solent creative economy,,Solent,23,,Lightcast,Lightcast employment data,v1,Freelance not accurately measured,,SOLENTCGP job count,SRC-G2-024,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-049,C-G2-062,Solent CI GVA,1500000000,,GBP,Solent creative economy,,Solent,23,,Lightcast + Oxford Economics,Lightcast GVA estimation,v1,,,SOLENTCGP GVA,SRC-G2-024,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-050,C-G2-064,Herefordshire official creative businesses,590,,businesses,Herefordshire creative economy,,Herefordshire,24,,ONS/DCMS,ONS/DCMS official data,v1,Limited data collection obscures true sector size,,HEREFORD business count,SRC-G2-025,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-051,C-G2-064,Herefordshire LinkedIn professionals,4000,,professionals,Herefordshire creative economy,,Herefordshire,24,3x larger than official,LinkedIn,LinkedIn workforce profiling,v1,,,HEREFORD LinkedIn,SRC-G2-025,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-052,C-G2-067,Surrey+ creative corridor value,7200000000,,GBP,Surrey+ creative corridor,,Surrey+ corridor,24,,Mapping evidence,Mapping evidence (sources not shown in text),v1,Underlying data sources not shown in text,,SURREY corridor value,SRC-G2-027,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-053,C-G2-067,Surrey+ companies,17000,,companies,Surrey+ creative corridor,,Surrey+ corridor,24,,Mapping evidence,Mapping evidence,v1,90% micro-businesses <5 employees,,SURREY company count,SRC-G2-027,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-054,C-G2-067,Surrey+ workforce,115000,,workers,Surrey+ creative corridor,,Surrey+ corridor,24,12% growth since 2019 vs UK 2%,Mapping evidence,Mapping evidence,v1,43% freelance,,SURREY workforce,SRC-G2-027,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-055,C-G2-070,LCR Music direct GVA (Integrated),405900000,,GBP,LCR music economy,,Liverpool City Region,25,,Four-tier workforce model + GVA attribution,Four-tier workforce model + GVA per FTE by subsector,v1,Tier 4 data quality low (50% confidence); LinkedIn coverage ~45%,,LCRMUS direct GVA,SRC-G2-028,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,Modelled estimate; GVA per FTE ranges £25174 to £145798,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
