method_id,project_id,method_family,method_status,contemporary_terminology,retrospective_interpretation,purpose,outputs,source_ids,notes,claim_ids,review_status,reviewer,review_date,codebook_version,review_batch
M-R3-011,P04-GBSLEP,intermediary_analysis,APPLIED,Intermediary mapping; knowledge transfer analysis,,Map intermediaries and knowledge transfer mechanisms in creative ecosystem,Intermediary analysis; knowledge transfer patterns; SWOT,SRC-R2-05,Method applied to identify intermediaries and knowledge transfer patterns. R2-D05 tested this.,C-R3-017,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-B
M-R3-012,P05-WMCA,scaleup_mapping,APPLIED,Common Application Gateway criteria; scale-up scoring; business mapping,,Map creative businesses and identify scale-up potential,Final report with scale-up scores; business counts; supply chain groupings,SRC-R2-06,Method applied by BOP with Fifth Sector as subcontractor. 17 pages.,C-R3-018;C-R3-019,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-B
M-R3-013,P06-COSTAR,bid_support,APPLIED,Case for Support; theory of change; consortium building,,Support CoSTAR consortium bid for national research infrastructure,Case for Support document; theory of change; virtual production capabilities,SRC-R2-07,Bid-support commission delivered. Programme NOT funded. R2-D07 tested this.,C-R3-020;C-R3-021,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-B
M-R3-014,P07-CC,inception_design,PROPOSED,Creative City+ inception note; SIPF application,,Design digital/creative initiative for GM Creative City,Inception note with proposed initiative design,SRC-R2-08,Method PROPOSED not APPLIED. Application NOT successful. Project did not proceed beyond inception.,C-R3-022,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-C
M-R3-015,P08-LIVDCI,cluster_mapping,APPLIED,Company data analysis; SIC code analysis; supply chain mapping; skills analysis,,Map digital and creative industries cluster in LCR,Final report with 27 tables; supply chain analysis; skills analysis; cluster mapping,SRC-R2-09;SRC-R2-09B,Method APPLIED. Proposal Jan 2024 and final report Jul 2024. Final report accepted by client.,C-R3-023;C-R3-024;C-R3-025,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-C
M-R3-016,P08-LIVDCI,proposal_design,APPLIED,Proposal methodology; experience framing,,Design proposal for LCR cluster mapping commission,Proposal document with methodology and experience sections,SRC-R2-09,Method APPLIED to produce proposal. Proposal is distinct from final report. R2-T02 tested proposal vs delivery separation.,C-R3-026,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-C
M-R3-017,P09-CDEC,challenges_analysis,APPLIED,Challenges paper; convergence analysis; ICT-creative crossover,,Identify challenges and opportunities for creative digital economy,Challenges paper with convergence analysis; recommendations,SRC-R2-10,Method APPLIED. Advisory/consultative role. Paper finalised. R2-T03 tested contextual vs hypothesis classification.,C-R3-027;C-R3-028,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-C
M-R3-018,P10-KIRK,creative_economy_mapping,APPLIED,SIC code analysis; Companies House data; BRES data; Beauhurst data; music business analysis,,Map scale and profile of creative industries in Kirklees,2022 report with 8 tables; 2024 report with 19 tables; 2026 report with 21 tables,SRC-R2-11,Method APPLIED across three cycles. Method evolved from baseline mapping (2022) to expanded data (2024) to impact assessment (2026).,C-R3-029;C-R3-030;C-R3-031,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-D
M-R3-019,P10-KIRK,economic_impact_assessment,APPLIED,GVA analysis; FTE intensity analysis; freelance GVA analysis; economic impact framing,,Assess economic impact of creative industries in Kirklees,2026 report with impact assessment; £250.9m GVA figure; freelance GVA recommendations,SRC-R2-11,Method APPLIED in 2026 report. Title shift from mapping to economic impact. R2-T04 tested £250.9m as measurement and visibility option value.,C-R3-032;C-R3-033,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-D
M-R3-020,P10-KIRK,voluntary_arts_mapping,APPLIED,Voluntary arts data; workforce dashboard,,Map voluntary arts sector in Kirklees,Voluntary arts mapping results in 2024 and 2026 reports,SRC-R2-11,Method APPLIED to capture voluntary arts sector often missed in SIC-based mapping,C-R3-034,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-D
M-R3-021,P10-KIRK,structured_audit_workflow,APPLIED,Markdown drafts; deepthink reviews; blindspot reviews; consistency audits; changelog,,Improve report quality through structured audit process,2026 report audit files; error reconciliation; consistency audit,SRC-R2-11,Method APPLIED in 2026 cycle. Workflow shift from DOCX-only to Markdown + structured audits. Potential feedback loop from project practice to toolkit design.,C-R3-035,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-D
M-G2-001,P11-ELFC,creative_economy_mapping,APPLIED,BRES employment analysis; ABS productivity-based GVA estimation; location quotient analysis,,Map scale and significance of fashion sector in East London and Upper Lea Valley,Baseline data: £1.4bn GVA 36200 jobs 57% growth; LQ analysis; GVA by sub-sector,SRC-G2-002;SRC-G2-003,Method applied across BRES data; ABS productivity ratios adjusted for local productivity; LQ analysis for design concentration; Oxford Economics Value of Fashion SIC definition used,C-G2-001;C-G2-002;C-G2-007,REVIEWED,Devin,2026-09-09,1.3-candidate,G2-BATCH-A
M-G2-002,P11-ELFC,cluster_case_study_analysis,APPLIED,International case studies (LA Milan NY Istanbul Antwerp Dubai Amsterdam); focus groups; scenario planning,,Understand competitive positioning and develop cluster strategy,Case study comparisons; focus group findings; scenario plan; SWOT analysis,SRC-G2-002,Method combines desk research with 3 focus groups (20 participants) and scenario planning workshop; international comparators inform strategic options,C-G2-003;C-G2-004,REVIEWED,Devin,2026-09-09,1.3-candidate,G2-BATCH-A
M-G2-003,P11-ELFC,options_assessment,APPLIED,Action plan with gated investment sequence; SPV design,,Design ELFC organisation and phased implementation plan,Four-stage action plan; SPV proposal; 4 proposed interventions,SRC-G2-002;SRC-G2-005,Action plan proposes gated sequence: pre-launch launch LCF relocation evaluation; 4 interventions: SPV Skills Framework Workspace Alliance London Fashion Fund Fashion Tech R&D Showcase,C-G2-005;C-G2-006,REVIEWED,Devin,2026-09-09,1.3-candidate,G2-BATCH-A
M-G2-004,P11-ELFC,economic_rationale_analysis,APPLIED,Green Book market failure framework; cluster theory critique,,Establish economic rationale for public intervention in fashion cluster,Economic rationale note identifying evidence gaps including spillover effects,SRC-G2-004,Iain Bennett-authored note from GLA Economics perspective; identifies need for spillover evidence; critiques cluster policy evidence base; important for methodology development,C-G2-008,REVIEWED,Devin,2026-09-09,1.3-candidate,G2-BATCH-A
M-G2-005,P12-KIRK15,creative_economy_mapping,APPLIED,BRES employment analysis; ONS business counts; GVA estimation,,Establish creative economy baseline for Kirklees,Employment counts (CI 3360 CE 5020); GVA (£100.979m); business size breakdown; VAT threshold analysis,SRC-G2-001,Data-only source with 6 sheets; BRES-based employment; ONS business counts; BOP GVA analysis; no narrative report found; method consistent with BOP creative economy mapping approach,C-G2-009;C-G2-010,REVIEWED,Devin,2026-09-09,1.3-candidate,G2-BATCH-A
M-G2-006,P13-CWL,ke_hub_evaluation,APPLIED,Programme evaluation with counterfactual reasoning; ROM estimation; scenario planning,,Evaluate KE hub outcomes and develop exploitation strategy,Evaluation report with recommendations for further investment,SRC-G2-006,Method combines evaluation of project outcomes with counterfactual reasoning about creative innovation; explicitly addresses difficulty of establishing counterfactual; proposes ROM estimates and scenario planning for future programmes,C-G2-011;C-G2-012;C-G2-013;C-G2-014,REVIEWED,Devin,2026-09-09,1.3-candidate,G2-BATCH-A
M-G2-007,P14-DCAT,immersive_tech_sector_mapping,APPLIED,AI-powered supplier identification (Synoptica); GIS heat mapping; qualitative cluster case studies; semi-structured interviews; international comparators,,Map UK immersive tech sector and identify barriers and opportunities,Main report + technical report; 500 companies mapped; 9 UK clusters; international case studies; barriers and opportunities analysis,SRC-G2-007;SRC-G2-008,Method combines AI-powered web search (Synoptica) with GIS mapping and qualitative cluster case studies; shifted from quantitative to qualitative approach due to data limitations; 30+ interviews; international comparators (Vancouver Shanghai),C-G2-015;C-G2-016;C-G2-017;C-G2-018,REVIEWED,Devin,2026-09-09,1.3-candidate,G2-BATCH-A
M-G2-008,P15-LIVMUS,music_sector_mapping,APPLIED,Bespoke music economy definition; UK Music data; ONS data; Advisory Board validation; production services survey; consultation; SWOT; scenario planning,,Map Liverpool music economy and develop strategy,Strategy with economic mapping; governance recommendations; capital projects; 3 scenarios,SRC-G2-009;SRC-G2-010,Method combines UK Music box office data with ONS employment data and Advisory Board estimates for musicians; bespoke definition of Liverpool music economy; production services survey; 60+ consultees; SWOT; 3 scenarios; competitor city analysis,C-G2-019;C-G2-020;C-G2-021;C-G2-022;C-G2-023,REVIEWED,Devin,2026-09-09,1.3-candidate,G2-BATCH-A
M-G2-010,P16-CICP,evaluation_design,PROPOSED,Mixed-methods contribution analysis; CBA; DiD; SRS microdata; LinkedIn/Meetup network mapping,Design four-phase evaluation framework for CICP and PEC,Evaluation approach document with ToC baselining and impact evaluation design,SRC-G2-011,Iain contributed sector/workforce mapping and methodology design via BOP; approach only not implemented; marginal claim,C-G2-024,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-011,P17-LCRCSU,creative_industries_mapping,APPLIED,BRES employment analysis; ONS business counts; LQ cluster analysis; Tech Nation digital sector definition,Produce evidence base for Leeds City Region Creative Scale Up bid,Evidence base with employment trends business counts LQ analysis and sector context,SRC-G2-012,Iain Bennett lead consultant; bid evidence not outcome evaluation; BRES ONS Nomisweb analysis,C-G2-025;C-G2-026,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-012,P18-GRIMSBY,cultural_participation_mapping,APPLIED,Audience data analysis (Taking Part Active People Active Lives); Mosaic profiling; stakeholder engagement; venue analysis,Map cultural participation baselines for Grimsby and recommend CDF programme,Phase 1 report with participation baselines venue analysis and programme recommendations,SRC-G2-013,Fifth Sector contributed mapping data; Magna Vitae authored; participation baselines from national surveys; no economic output data,C-G2-027,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-013,P19-LCRIMM,immersive_tech_sector_mapping,APPLIED,AI web search company database; LinkedIn workforce analysis; survey n=56; semi-structured interviews; case studies; benchmarking; SWOT,Map LCR immersive ecosystem and identify barriers and opportunities,Final report with 169 organisations mapped; survey; case studies; benchmarking; SWOT,SRC-G2-014,Iain Bennett as BOP author; cross-sector case studies (Draw and Code Kinicho VEC/Bentley); market forecasts from secondary sources,C-G2-028;C-G2-029;C-G2-030;C-G2-031,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-014,P20-SYMCA21,creative_industries_mapping,APPLIED,BRES via Nomisweb; IDBR; Companies House cleansed; FAME; Beauhurst; LinkedIn; DCMS GVA estimation; ONS productivity index,Map CCI scale and dynamics for South Yorkshire,Mapping report with 4000+ companies 31000 workforce; GVA estimates; business dynamics; skills pathways,SRC-G2-015,Fifth Sector lead with Curator Technologies and Morra; BRES undercounts freelancers; GVA uses generic ONS productivity index; creative growth paradox finding,C-G2-032;C-G2-033;C-G2-034,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-015,P21-MMUCCI,cci_positioning_audit,APPLIED,Semi-structured stakeholder interviews; desk-based website research; benchmarking of comparator institutions,Audit MMU CCI offer and recommend positioning improvements,Report with stakeholder findings; website audit; benchmarking; recommendations,SRC-G2-016,Fifth Sector lead; interviews Mar-Aug 2022; no turnover/GVA baselines; REF 2021 results; network gap findings,C-G2-035;C-G2-036,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-016,P22-LCRFILM,film_fund_evaluation,APPLIED,Desk review of project data; LFO management/financial data analysis; recoupment projections; scenario planning; EDI monitoring; process evaluation,Evaluate LCR Film Fund delivery and propose scenario options,Interim evaluation with output data; recoupment scenarios; pipeline analysis; recommendations,SRC-G2-017,Iain Bennett for Liverpool Film Office; £6.76 leverage; 455 indirect FTE; recoupment projections are estimates; Development Fund seeded 7 pipeline projects,C-G2-037;C-G2-038;C-G2-039;C-G2-040;C-G2-041,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-017,P23-DERBY,feasibility_study,APPLIED,Online survey n=17; in-depth interview with Liverpool Film Office; ScreenSkills discussions; case material from Yorkshire/NE,Assess feasibility of joint Derby and Derbyshire Film Office,Feasibility study with survey findings; Liverpool comparator; job descriptions; recommendations,SRC-G2-018,Fifth Sector lead; survey n=17 explicitly not quantitative evidence base; no local baseline; Liverpool comparator; 2 FTE staged start-up design,C-G2-042,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-018,P24-SYMCACGP,creative_industries_mapping,APPLIED,BRES; LinkedIn; IDBR; Companies House; FAME; Beauhurst; DCMS GVA; ONS productivity index; LQ analysis; training provision mapping,Map CCI for SYMCA and inform Create Growth and Arts Culture Heritage strategy,Final report with 4025 companies 31000 workforce; GVA up to £2bn; 1013 courses; 5 apprenticeships; creative growth paradox,SRC-G2-019,Fifth Sector lead with Curator Technologies; extends P20-SYMCA21; GVA modelled using generic productivity index; creative growth paradox,C-G2-043;C-G2-044;C-G2-045;C-G2-046,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-019,P25-LANCGP,bid_development,APPLIED,Companies House via Beauhurst; LinkedIn via Curator Technologies; consultation with partners; programme design and costing,Develop DCMS Create Growth bid for Lancashire,Full application with evidence base; 4 hub designs; £1.275m budget; programme architecture,SRC-G2-020,Fifth Sector cited as data source; grant application not outcome report; 4500 businesses 36000 jobs; Pennine Originals spillover into aerospace/automotive,C-G2-047;C-G2-048,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-020,P26-WSBH,creative_industries_strategy,APPLIED,BRES 2021; IDBR; Companies House via Beauhurst; LinkedIn; Nesta cluster definitions; skills mapping; consultation round tables; business survey,Map CI and develop strategy for West Sussex Brighton Hove Lewes,Strategy with 10225 companies 54428 workforce; 6 tables; 3-phase investment plan; Createch strengths,SRC-G2-021,Fifth Sector lead with Curator Technologies and Morra; FuseBox24; Creative Assembly and Red River as anchor investors; Digital Catapult Brighton,C-G2-049;C-G2-050;C-G2-051,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-021,P27-WAKECDF,cultural_development_fund_evaluation,APPLIED,Desk/data analysis (ONS BRES LinkedIn DCMS monitoring); case studies; qualitative interviews; theory of change; value-for-money assessment,Evaluate CDF programme delivery outputs and legacy,Evaluation report with 14 tables; financial analysis; ToC; case studies; network analysis,SRC-G2-022,Iain Bennett and Steve Hunt for Wakefield Council; £4.38m CDF £22.03m total; CCI employment +32%; GVA +79%; Creative Wakefield +458%; CoSTAR secured; INTERNAL INCONSISTENCY: 120 vs 160 FTE,C-G2-052;C-G2-053;C-G2-054;C-G2-055;C-G2-056;C-G2-057;C-G2-058,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-022,P28-CALDER,creative_industries_mapping,APPLIED,ONS/IDBR 2015-2023; BRES 2022; Companies House via Beauhurst; LinkedIn July 2023; LQ analysis; music deep dive; course/qualification audit; consultation,Map CCI for Calderdale to inform investment planning 2024-2029,Research report with 18 tables; 655 ONS firms 880 Beauhurst; 2360 BRES; 7375 LinkedIn; music deep dive; Cultural Compact proposed,SRC-G2-023,Fifth Sector prime; LinkedIn not directly comparable to BRES; small round-table sample n=28; Screen Yorkshire Connected Campus,C-G2-059;C-G2-060;C-G2-061,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-023,P29-SOLENTCGP,bid_development,APPLIED,Companies House via Beauhurst; IDBR/Nomisweb; BOP cluster data; Lightcast employment/GVA; Oxford Economics; consultation; eligibility modelling,Develop CGP expansion bid for Solent,Draft application with market evidence; 3 cohort designs; Solent Creative Investment Framework,SRC-G2-024,Fifth Sector appointed for market awareness research; DRAFT application; 4510 businesses 40000 jobs; Createch maritime/aerospace spillovers,C-G2-062;C-G2-063,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-024,P30-HEREFORD,culture_strategy_review,APPLIED,Stakeholder consultation 100+; skills analysis; strategic review of goals/pledges/actions; comparator analysis (Cornwall Cumbria Lincolnshire); ONS/DCMS data,Review 10-year cultural strategy at mid-point,Review report with progress assessment; comparator analysis; 5 strategic priorities,SRC-G2-025,Iain confirmed lead consultant; 590 official businesses 4000+ LinkedIn; 56% graduate leakage; rural creative economy; fragmented ecosystem,C-G2-064;C-G2-065,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-025,P31-PRODPARK,gva_data_analysis,APPLIED,LinkedIn industry codes mapped to BRES SIC07; employment cross-tabulation,Provide employment data for Production Park area,Data table with LinkedIn/BRES mapping; no narrative,SRC-G2-026,Data fragment only; BRES 2022 columns empty; incomplete; supplements P27-WAKECDF,C-G2-066,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-026,P32-SURREY,creative_corridor_strategy,APPLIED,Sector consultation 6 months; mapping evidence; comparator analysis (European and North American regions); economic modelling; investment appraisal,Develop creative corridor strategy and investment framework,Strategy with £7.2bn value; 17000 companies; 115000 workforce; 4 recommendations; £3-4m investment ask,SRC-G2-027,Iain confirmed lead consultant; aerospace-to-screen spillover (Farnborough); CoSTAR/Games Innovation Zone; investment returns are modelled forecasts,C-G2-067;C-G2-068;C-G2-069,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-027,P33-LCRMUS,music_economy_mapping,APPLIED,Four-tier workforce model; firmographic analysis (Companies House DataCity Charity Commission CIC); LinkedIn; platform data (MusicSeen Instagram Spotify PRS); survey n=70; SNA of 272 businesses; Type II multiplier 1.92; LQ analysis; sensitivity analysis,Map LCR music economy scale and dynamics and identify growth levers,Final report with 38 tables; 14370 headcount 7215 FTE; £405.9m direct GVA £779.8m total; SNA; growth scenarios; 4 growth levers,SRC-G2-028,Fifth Sector/Unscrambled with UoL IPM; four-tier workforce model is methodological innovation; SNA of 272 businesses; Tier 4 data quality low; LinkedIn coverage ~45%; concentration risk,C-G2-070;C-G2-071;C-G2-072;C-G2-073;C-G2-074,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-028,P34-SOLENTHANTS,creative_industries_mapping,APPLIED,ONS IDBR; BRES 2023; DataCity; LinkedIn April 2025; DCMS GVA; ONS regional productivity; LQ analysis; HDBSCAN spatial clustering; Creative Trident supply-chain framing,Map CI for Solent and Hampshire CA,Mapping report with 11 tables; £5.25bn GVA reconciled; 39980 BRES 80511 LinkedIn; 7530 IDBR 11420 DataCity; HDBSCAN clustering,SRC-G2-029,Fifth Sector/Unscrambled; DCMS top-down £6.9bn almost certainly overestimate; LinkedIn over-represents advertising/design; 31% IT contraction; HDBSCAN caveat re accountants,C-G2-075;C-G2-076;C-G2-077,REVIEWED,Devin,2026-09-11,1.3-candidate,G2-BATCH-B,
M-G2-029,P01-NES,skills_dashboard_analysis,APPLIED,LinkedIn Talent Insights skills dashboard; per-capita comparator analysis; Nottingham comparator,,Characterise capability profile of NE Scotland creative workforce against comparator city-region,Skills surplus/deficit ratios; simulation 3.5x surplus; VFX 5.7x; 3D design 4.4x; geospatial 3.2x; virtual production 2.0x deficit; data storytelling 2.1x deficit,SRC-R2-01;SRC-R2-02,"Comparator changed between drafts: April used Nottinghamshire county (824,800); May used Nottingham city (357,597 profiles). May report is canonical. Skills ratios describe two Tier 2 sub-populations not region as whole.",C-G2-347;C-G2-348;C-G2-349;C-G2-350;C-G2-375;C-G2-380,REVIEWED,Devin,2026-09-12,1.3-candidate,G2-BATCH-D
M-G2-030,P01-NES,case_study_research,APPLIED,Practitioner interviews; DAST/Edit case study; city centre manager interview,,Provide direct qualitative evidence for Tier 4 invisible workforce estimate,DAST/Edit case study with £100k retail sales; named practitioners; graduate retention pathway; concentric circles structure,SRC-R2-01,Primary source is single practitioner account (Peter Baxter). Membership figures and financial details not independently verified. £100k retail figure is indicative not audited.,C-G2-355;C-G2-356;C-G2-357;C-G2-379,REVIEWED,Devin,2026-09-12,1.3-candidate,G2-BATCH-D
M-G2-031,P01-NES,funding_landscape_analysis,APPLIED,Creative Scotland MYF portfolio analysis; ACC Culture Investment Programme; UKSPF tracking; post-2028 risk assessment,,Document funding architecture supporting NE Scotland creative economy and identify structural gaps,Funding landscape appendix; MYF portfolio analysis; sub-threshold gap identification; churn cycle documentation; post-2028 risk assessment,SRC-R2-01;SRC-R2-02,Documents structural gap between MYF-funded organisations and sub-threshold organisations. Aberdeen City receives £6.33 per head MYF vs Edinburgh £41.31.,C-G2-335;C-G2-336;C-G2-337;C-G2-338;C-G2-359;C-G2-360;C-G2-376,REVIEWED,Devin,2026-09-12,1.3-candidate,G2-BATCH-D
M-G2-032,P01-NES,graduate_destination_analysis,APPLIED,LinkedIn Talent Insights alumni mapping; graduate retention analysis,,Map geographic destinations of creative alumni from RGU and University of Aberdeen,"1,527 mapped alumni; 46% retained in NE Scotland; RGU 36% retention; UoA 23% retention; Central Belt primary destination for leavers",SRC-R2-01;SRC-R2-02,Structural retention failure not quality failure. Graduates leave rationally due to insufficient visible entry-level employment.,C-G2-339;C-G2-340;C-G2-341,REVIEWED,Devin,2026-09-12,1.3-candidate,G2-BATCH-D
