review_id,review_batch,record_type,record_id,field_name,action,coder,recorded_at,codebook_version,initial_value,previous_value,new_value,source_ids,source_locator,rationale,adjudicator,decision_status,related_review_ids,successor_record_ids
REV-R2-015,R2,INITIAL_CODE,R2-D07,claim_type,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,BID_SUPPORT_DELIVERED,SRC-R2-07,cover/strategic fit/theory of change,Bid-support work was delivered; programme it supported was not funded,,,,,
REV-R2-016,R2,INITIAL_CODE,R2-D07,method_status,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,APPLIED,SRC-R2-07,cover/strategic fit/theory of change,Bid-support commission was delivered (case for support written),,,,,,
REV-R2-017,R2,INITIAL_CODE,R2-D07,lifecycle_status,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,NOT_SUCCESSFUL,SRC-R2-07,cover/strategic fit/theory of change,Bid was NOT successful; confirmed by Iain 26/09/09,,,,,
REV-R2-018,R2,INITIAL_CODE,R2-D08,evidence_status,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,OUTSIDE_PACKET,SRC-R2-03,entire transcript,Workshop happened and outcomes recorded in final report; but final report is outside R2 packet; from transcript alone workshop is PROPOSED,,,,,
REV-R2-019,R2,INITIAL_CODE,R2-T01,method_status,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,PROPOSED,SRC-R2-08,entire inception note,Inception note proposes tasks; SIPF application NOT successful,,,,,
REV-R2-020,R2,INITIAL_CODE,R2-T01,lifecycle_status,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,APPLICATION_NOT_SUCCESSFUL,SRC-R2-08,entire inception note,SIPF application not successful; project did not proceed beyond inception,,,,,
REV-R2-021,R2,INITIAL_CODE,R2-T02,method_status,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,APPLIED,SRC-R2-09;SRC-R2-09B,experience/methodology sections + full final report,Both proposal and final report demonstrate method application; method reuse claims verified by final report content,,,,,
REV-R2-022,R2,INITIAL_CODE,R2-T03,evidence_status,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,REPORTED_CONTEXT,SRC-R2-10,introduction/convergence/recommendations,Challenges paper documents existing convergence trends as contextual finding about state of digital economy,,,,,
REV-R2-023,R2,INITIAL_CODE,R2-T04,value_basis,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,VISIBILITY_OPTION_VALUE,SRC-R2-11,exec summary/economic-impact methodology,Measurement creates option value by making sector visible to policy; GVA figure is baseline but act of measuring enables decisions,,,,,
REV-R2-024,R2,INITIAL_CODE,R2-O01,missing_brief_gate,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,PASS,SRC-R2-12,entire ITQ,ITQ contains sufficient information to proceed without the technical brief; 4 pages specify requirements adequately,,,,,
REV-R2-025,R2,INITIAL_CODE,R2-O01,budget_interpretation,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,ALL_PHASES,SRC-R2-12,budget section,£38K is across all phases not Phase 1 alone; Phase 1 is a portion of total budget,,,,,
REV-R2-026,R2,INITIAL_CODE,R2-O02,contract_gate,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,PASS,SRC-R2-13;SRC-R2-14;SRC-R2-15,contract terms,Contract terms are standard and acceptable; no negotiation required,,,,,
REV-R2-027,R2,INITIAL_CODE,R2-D01,claim_type,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,CONTEXTUAL_BASELINE,,SRC-R2-01;SRC-R2-02,title/date/scope/headline numbers,GVA figures are contextual baseline measurements of existing sector scale not effects created by intervention,,,,,
REV-R2-028,R2,INITIAL_CODE,R2-D01,canonical_version,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNRESOLVED,UNRESOLVED,SRC-R2-01;SRC-R2-02,headline numbers,Both extracts predate v3.12 canonical; version authority between these two is UNRESOLVED,,,,,
REV-R2-029,R2,INITIAL_CODE,R2-D02,method_status,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,PROPOSED,PROPOSED,SRC-R2-03,entire transcript,Transcript shows workshop planning; workshop has not been delivered; method is proposed,,,,,
REV-R2-030,R2,INITIAL_CODE,R2-D02,evidence_status,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,HYPOTHESIS,HYPOTHESIS,SRC-R2-03,entire transcript,Workshop proposed not delivered; no evidence of outcomes,,,,,
REV-R2-031,R2,INITIAL_CODE,R2-D03,option_holder,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,COMMISSIONER,SRC-R2-04,appendix investment sequence,Commissioner/funder holds option to proceed through gated phases; Fifth Sector proposed sequence but does not hold exercise right,,,,,
REV-R2-032,R2,INITIAL_CODE,R2-D03,option_state,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,PROPOSED,SRC-R2-04,appendix investment sequence,Investment sequence proposed; gating conditions not yet met; option not created,,,,,
REV-R2-033,R2,INITIAL_CODE,R2-D04,tie_change,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,PRE_EXISTING,SRC-R2-04,section 4,SNA maps existing bridging characteristics; no evidence of ties changed by intervention,,,,,
REV-R2-034,R2,INITIAL_CODE,R2-D04,attribution_strength,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,DISTINCTIVENESS_ONLY,SRC-R2-04,section 4,Fifth Sector identified bridging role through analysis; did not create bridging organisations or their positions,,,,,
REV-R2-035,R2,INITIAL_CODE,R2-D05,attribution_strength,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,DISTINCTIVENESS_ONLY,SRC-R2-05,exec summary/intermediaries subsections,Fifth Sector co-authored analysis identifying patterns; did not create the knowledge transfer patterns themselves,,,,,
REV-R2-036,R2,INITIAL_CODE,R2-D05,contracting_role,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,SUBCONTRACTOR,SRC-R2-05,exec summary/intermediaries subsections,BOP was prime; Bennett was associate/subcontractor,,,,,
REV-R2-037,R2,INITIAL_CODE,R2-D06,method_status,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,APPLIED,SRC-R2-06,cover/methodology,Corrected source is final report PDF; mapping methodology was applied and reported,,,,,
REV-R2-038,R2,INITIAL_CODE,R2-D06,evidence_status,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,REPORTED,SRC-R2-06,cover/methodology,Business counts and scale-up scores reported from mapping,,,,,
REV-R2-039,R2,INITIAL_CODE,R2-D06,contracting_role,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,SUBCONTRACTOR,SRC-R2-06,cover/methodology,BOP prime confirmed; Fifth Sector subcontractor,,,,,
REV-R2-040,R2,INITIAL_CODE,R2-D07,claim_type,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,RECOMMENDATION_DESIGN,SRC-R2-07,cover/strategic fit/theory of change,Case for support proposes a programme; bid-support work is recommendation/design,,,,,
REV-R2-041,R2,INITIAL_CODE,R2-D07,method_status,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,PROPOSED,SRC-R2-07,cover/strategic fit/theory of change,Programme proposed not delivered; bid was not successful,,,,,
REV-R2-042,R2,INITIAL_CODE,R2-D07,lifecycle_status,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,NOT_SUCCESSFUL,SRC-R2-07,cover/strategic fit/theory of change,Bid NOT successful confirmed by Iain 26/09/09,,,,,
REV-R2-043,R2,INITIAL_CODE,R2-D08,evidence_status,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,NOT_DETECTED,SRC-R2-03,entire transcript,No post-workshop effects test in this document; workshop has not occurred; NOT_DETECTED with scope not null finding,,,,,
REV-R2-044,R2,INITIAL_CODE,R2-T01,method_status,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,PROPOSED,SRC-R2-08,entire inception note,Inception note proposes tasks for SIPF bid support; application not successful,,,,,
REV-R2-045,R2,INITIAL_CODE,R2-T01,lifecycle_status,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,APPLICATION_NOT_SUCCESSFUL,SRC-R2-08,entire inception note,SIPF application not successful; project did not proceed beyond inception,,,,,
REV-R2-046,R2,INITIAL_CODE,R2-T02,method_status,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,APPLIED,SRC-R2-09;SRC-R2-09B,experience/methodology + full final,Final report demonstrates method applied to LCR; proposal claims reuse; final report confirms delivery,,,,,
REV-R2-047,R2,INITIAL_CODE,R2-T03,evidence_status,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,HYPOTHESIS,SRC-R2-10,introduction/convergence/recommendations,Paper proposes cross-sector convergence mechanism; no occurrence evidence supplied; mechanism is hypothetical,,,,,
REV-R2-048,R2,INITIAL_CODE,R2-T04,value_basis,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,MODELLED_ESTIMATE,SRC-R2-11,exec summary/economic-impact methodology,GVA figure is modelled from workforce data not directly measured; baseline scale not intervention effect,,,,,
REV-R2-049,R2,INITIAL_CODE,R2-O01,missing_brief_gate,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,HOLD,SRC-R2-12,entire ITQ,ITQ references attached technical brief not in packet; essential buyer document missing produces HOLD not pass,,,,,
REV-R2-050,R2,INITIAL_CODE,R2-O01,budget_interpretation,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,AMBIGUOUS,SRC-R2-12,budget section,£38K across all phases but only Phase 1 commissioned; ambiguity between Phase 1 and all-phases scope,,,,,
REV-R2-051,R2,INITIAL_CODE,R2-O02,contract_gate,INITIAL_CODE,Devin,26/09/09T08:30:00Z,v1.1,,UNKNOWN,HOLD,SRC-R2-13;SRC-R2-14;SRC-R2-15,contract terms,No changes allowed to contract; Annex 1 is draft; IP terms and data-sharing terms need review; HOLD pending contract review,,,,,
REV-R2-052,R2,ADJUDICATION,R2-D01,claim_type,ADJUDICATE,Iain,26/09/09T08:45:00Z,v1.1,METHOD_APPLICATION,CONTEXTUAL_BASELINE,METHOD_APPLICATION,SRC-R2-01;SRC-R2-02,title/date/scope/headline numbers,Iain adjudicates: GVA figure is a method application — mapping methodology was applied to produce it. Devin's contextual baseline is a valid reading of the claim content but the claim_type axis captures the method application.,Iain,ADJUDICATED_Iain,REV-R2-002;REV-R2-027,
REV-R2-053,R2,ADJUDICATION,R2-D01,canonical_version,ADJUDICATE,Iain,26/09/09T08:45:00Z,v1.1,May 8 (SRC-R2-02),UNRESOLVED,May 8 (SRC-R2-02),SRC-R2-01;SRC-R2-02,headline numbers,Iain adjudicates: May 8 is canonical between the two extracts — later version with more cautious figures. v3.12 is the confirmed canonical but these extracts predate it.,Iain,ADJUDICATED_Iain,REV-R2-003;REV-R2-028,
REV-R2-054,R2,ADJUDICATION,R2-D05,attribution_strength,ADJUDICATE,Iain,26/09/09T08:45:00Z,v1.1,CO_AUTHORED_ANALYSIS,DISTINCTIVENESS_ONLY,CO_AUTHORED_ANALYSIS,SRC-R2-05,exec summary/intermediaries subsections,Iain adjudicates: Fifth Sector co-authored the analysis with BOP. Analytical work is co-created. Both agree patterns not co-created.,Iain,ADJUDICATED_Iain,REV-R2-010;REV-R2-035,
REV-R2-055,R2,ADJUDICATION,R2-D07,claim_type,ADJUDICATE,Iain,26/09/09T08:45:00Z,v1.1,BID_SUPPORT_DELIVERED,RECOMMENDATION_DESIGN,BID_SUPPORT_DELIVERED,SRC-R2-07,cover/strategic fit/theory of change,Iain adjudicates: Bid-support work was delivered. The programme status is separate but not coded here.,Iain,ADJUDICATED_Iain,REV-R2-015;REV-R2-040,
REV-R2-056,R2,ADJUDICATION,R2-D07,method_status,ADJUDICATE,Iain,26/09/09T08:45:00Z,v1.1,APPLIED,PROPOSED,APPLIED,SRC-R2-07,cover/strategic fit/theory of change,Iain adjudicates: Bid-support commission was delivered (case for support written). Method applied to the commission.,Iain,ADJUDICATED_Iain,REV-R2-016;REV-R2-041,
REV-R2-057,R2,ADJUDICATION,R2-D08,evidence_status,ADJUDICATE,Iain,26/09/09T08:45:00Z,v1.1,OUTSIDE_PACKET,NOT_DETECTED,OUTSIDE_PACKET,SRC-R2-03,entire transcript,Iain adjudicates: Workshop happened and outcomes recorded in final report outside R2 packet. From transcript alone workshop is PROPOSED but evidence exists outside scope.,Iain,ADJUDICATED_Iain,REV-R2-018;REV-R2-043,
REV-R2-058,R2,ADJUDICATION,R2-T03,evidence_status,ADJUDICATE,Iain,26/09/09T08:45:00Z,v1.1,REPORTED_CONTEXT,HYPOTHESIS,REPORTED_CONTEXT,SRC-R2-10,introduction/convergence/recommendations,Iain adjudicates: Challenges paper documents existing convergence trends as contextual finding about state of digital economy.,Iain,ADJUDICATED_Iain,REV-R2-022;REV-R2-047,
REV-R2-059,R2,ADJUDICATION,R2-T04,value_basis,ADJUDICATE,Iain,26/09/09T08:45:00Z,v1.1,VISIBILITY_OPTION_VALUE,MODELLED_ESTIMATE,VISIBILITY_OPTION_VALUE,SRC-R2-11,exec summary/economic-impact methodology,Iain adjudicates: Measurement creates option value by making sector visible to policy. GVA figure enables decisions that werent possible before.,Iain,ADJUDICATED_Iain,REV-R2-023;REV-R2-048,
REV-R2-060,R2,ADJUDICATION,R2-O01,missing_brief_gate,ADJUDICATE,Iain,26/09/09T08:45:00Z,v1.1,PASS,HOLD,PASS,SRC-R2-12,entire ITQ,Iain adjudicates: ITQ contains sufficient information to proceed without the technical brief. 4 pages specify requirements adequately.,Iain,ADJUDICATED_Iain,REV-R2-024;REV-R2-049,
REV-R2-061,R2,ADJUDICATION,R2-O01,budget_interpretation,ADJUDICATE,Iain,26/09/09T08:45:00Z,v1.1,ALL_PHASES,AMBIGUOUS,ALL_PHASES,SRC-R2-12,budget section,Iain adjudicates: £38K is clearly for all phases. Phase 1 is a portion of total budget.,Iain,ADJUDICATED_Iain,REV-R2-025;REV-R2-050,
REV-R2-062,R2,ADJUDICATION,R2-O02,contract_gate,ADJUDICATE,Iain,26/09/09T08:45:00Z,v1.1,PASS,HOLD,PASS,SRC-R2-13;SRC-R2-14;SRC-R2-15,contract terms,Iain adjudicates: Contract terms are standard and acceptable. No negotiation required.,Iain,ADJUDICATED_Iain,REV-R2-026;REV-R2-051,
REV-R2-063,R2,RECODE,R2-D01,claim_type,RECODE,Devin,26/09/09T09:00:00Z,v1.2,CONTEXTUAL_BASELINE,METHOD_OUTPUT,METHOD_OUTPUT,SRC-R2-01;SRC-R2-02,title/date/scope/headline numbers,v1.2 clarifies claim_type and method_status are orthogonal. GVA figure is a method output produced by applied mapping methodology. claim_type=METHOD_OUTPUT aligns with Iain adjudication. method_status=APPLIED coded separately.,Devin,RESOLVED,REV-R2-027;REV-R2-052,
REV-R2-064,R2,RECODE,R2-D01,canonical_version,RECODE,Devin,26/09/09T09:00:00Z,v1.2,UNRESOLVED,UNRESOLVED,May 8 (SRC-R2-02),SRC-R2-01;SRC-R2-02,headline numbers,v1.2 does not change version authority rule. Iain adjudicated May 8 as canonical between the two extracts based on project knowledge. Accept Iain adjudication as v1.2 code.,Devin,RESOLVED,REV-R2-028;REV-R2-053,
REV-R2-065,R2,RECODE,R2-D05,attribution_strength,RECODE,Devin,26/09/09T09:00:00Z,v1.2,DISTINCTIVENESS_ONLY,DISTINCTIVENESS_ONLY,DESCRIPTIVE,SRC-R2-05,exec summary/intermediaries subsections,v1.2 clarifies analytical contribution is separate from effect attribution. Co-authored analysis is DESCRIPTIVE (association not causal). Aligns with Iain CO_AUTHORED_ANALYSIS intent.,Devin,RESOLVED,REV-R2-035;REV-R2-054,
REV-R2-066,R2,RECODE,R2-D07,claim_type,RECODE,Devin,26/09/09T09:00:00Z,v1.2,RECOMMENDATION_DESIGN,RECOMMENDATION_DESIGN,BID_SUPPORT_DELIVERED,SRC-R2-07,cover/strategic fit/theory of change,v1.2 adds BID_SUPPORT_DELIVERED as claim_type. Bid-support commission was delivered. Aligns with Iain adjudication.,Devin,RESOLVED,REV-R2-040;REV-R2-055,
REV-R2-067,R2,RECODE,R2-D07,method_status,RECODE,Devin,26/09/09T09:00:00Z,v1.2,PROPOSED,PROPOSED,APPLIED,SRC-R2-07,cover/strategic fit/theory of change,v1.2 two-level guidance: method_status=APPLIED for the commission (bid-support delivered). programme_status=NOT_AWARDED coded separately. Aligns with Iain adjudication.,Devin,RESOLVED,REV-R2-041;REV-R2-056,
REV-R2-068,R2,RECODE,R2-D08,evidence_status,RECODE,Devin,26/09/09T09:00:00Z,v1.2,NOT_DETECTED,NOT_DETECTED,OUTSIDE_PACKET,SRC-R2-03,entire transcript,v1.2 adds OUTSIDE_PACKET as evidence_status. Iain disclosed workshop happened and outcomes in final report outside packet. Aligns with Iain adjudication.,Devin,RESOLVED,REV-R2-043;REV-R2-057,
REV-R2-069,R2,RECODE,R2-T03,evidence_status,RECODE,Devin,26/09/09T09:00:00Z,v1.2,HYPOTHESIS,HYPOTHESIS,REPORTED,SRC-R2-10,introduction/convergence/recommendations,v1.2 contextual-vs-hypothesis rule: paper primarily documents existing convergence trends. Primary classification is REPORTED for contextual content. Proposed mechanism is separate DESIGN claim. Aligns with Iain adjudication.,Devin,RESOLVED,REV-R2-047;REV-R2-058,
REV-R2-070,R2,RECODE,R2-T04,value_basis,RECODE,Devin,26/09/09T09:00:00Z,v1.2,MODELLED_ESTIMATE,MODELLED_ESTIMATE,VISIBILITY_OPTION_VALUE,SRC-R2-11,exec summary/economic-impact methodology,v1.2 adds VISIBILITY_OPTION_VALUE as value_basis. Measurement creates option value by making sector visible to policy. Aligns with Iain adjudication.,Devin,RESOLVED,REV-R2-048;REV-R2-059,
REV-R2-071,R2,RECODE,R2-O01,missing_brief_gate,RECODE,Devin,26/09/09T09:00:00Z,v1.2,HOLD,HOLD,PASS,SRC-R2-12,entire ITQ,v1.2 clarifies commercial experience is valid for gate decisions. ITQ 4 pages specify requirements adequately. Rationale recorded. Aligns with Iain adjudication.,Devin,RESOLVED,REV-R2-049;REV-R2-060,
REV-R2-072,R2,RECODE,R2-O01,budget_interpretation,RECODE,Devin,26/09/09T09:00:00Z,v1.2,AMBIGUOUS,AMBIGUOUS,ALL_PHASES,SRC-R2-12,budget section,v1.2 commercial experience guidance: £38K is across all phases with Phase 1 as portion. Rationale recorded. Aligns with Iain adjudication.,Devin,RESOLVED,REV-R2-050;REV-R2-061,
REV-R2-073,R2,RECODE,R2-O02,contract_gate,RECODE,Devin,26/09/09T09:00:00Z,v1.2,HOLD,HOLD,PASS,SRC-R2-13;SRC-R2-14;SRC-R2-15,contract terms,v1.2 commercial experience guidance: contract terms are standard and acceptable. Rationale recorded. Aligns with Iain adjudication.,Devin,RESOLVED,REV-R2-051;REV-R2-062,
REV-R2-074,R2,RECODE,R2-D05,attribution_strength,RECODE,Devin,26/09/09T09:15:00Z,v1.3,DESCRIPTIVE,DESCRIPTIVE,CO_AUTHORED_ANALYSIS,SRC-R2-05,exec summary/intermediaries subsections,v1.3 adds CO_AUTHORED_ANALYSIS as formal attribution code. Fifth Sector co-authored analysis with BOP. Aligns with Iain adjudication. Previous DESCRIPTIVE RECODE superseded.,Devin,RESOLVED,REV-R2-065;REV-R2-054,
REV-R3-001,R3,DOUBLE_CODE,C-R3-001,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,METHOD_OUTPUT,SRC-R2-02,GVA figure,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-A
REV-R3-002,R3,DOUBLE_CODE,C-R3-003,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,DESIGN,DESIGN,DESIGN,SRC-R2-01,convergence forecast,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-A
REV-R3-003,R3,DOUBLE_CODE,C-R3-011,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,METHOD_OUTPUT,SRC-R2-04,SNA bridging,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-A
REV-R3-004,R3,DOUBLE_CODE,C-R3-013,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,DESIGN,DESIGN,DESIGN,SRC-R2-04,investment sequence,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-A
REV-R3-005,R3,DOUBLE_CODE,C-R3-017,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,METHOD_OUTPUT,SRC-R2-05,intermediaries,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-B
REV-R3-006,R3,DOUBLE_CODE,C-R3-032,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,METHOD_OUTPUT,SRC-R2-11,£250.9m GVA,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-D
REV-R3-007,R3,DOUBLE_CODE,C-R3-033,value_basis,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,VISIBILITY_OPTION_VALUE,VISIBILITY_OPTION_VALUE,VISIBILITY_OPTION_VALUE,SRC-R2-11,measurement as value,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-D
REV-R3-008,R3,DOUBLE_CODE,C-R3-006,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,METHOD_OUTPUT,SRC-R3-01,workshop delivered,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-A
REV-R3-009,R3,DOUBLE_CODE,C-R3-009,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,METHOD_OUTPUT,SRC-R2-04,job postings,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-A
REV-R3-010,R3,DOUBLE_CODE,C-R3-014,attribution_strength,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,CO_AUTHORED_ANALYSIS,CO_AUTHORED_ANALYSIS,CO_AUTHORED_ANALYSIS,SRC-R2-05,GBSLEP mapping,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-B
REV-R3-011,R3,DOUBLE_CODE,C-R3-018,attribution_strength,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,SRC-R2-06,WMCA mapping,Agreed; Iain distinguishes WMCA DESCRIPTIVE from GBSLEP CO_AUTHORED_ANALYSIS,Devin,RESOLVED,,R3-BATCH-B
REV-R3-012,R3,DOUBLE_CODE,C-R3-020,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,BID_SUPPORT_DELIVERED,BID_SUPPORT_DELIVERED,BID_SUPPORT_DELIVERED,SRC-R2-07,CoSTAR bid support,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-B
REV-R3-013,R3,DOUBLE_CODE,C-R3-022,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,DESIGN,DESIGN,DESIGN,SRC-R2-08,SIPF application,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-C
