source_id,project_id,title,document_type,author_owner,date_version,controlled_location,page_section_locator,access_restrictions,extraction_quality,independence,source_family_id,notes,additional_project_ids,opportunity_ids,original_location,derived_location,authority_status,authority_rationale,source_review_state,extraction_tool_version,extraction_scope,extraction_warnings,original_locator,reviewer,review_date,codebook_version,review_batch
SRC-R2-10,P09-CDEC,CDEC challenges paper V2 draft,challenges_paper,Iain Bennett,12/04/24,canonical/P09-CDEC/CDEC challenges paper V2 - draft_IB.docx,introduction convergence and recommendations,internal_only,COMPLETE,primary,CDEC-FAM,85 paras 0 tables; challenges paper finalised (confirmed by Iain 26/09/09); Fifth Sector advisory/consultative role; oldest project in pilot (2012); R2-T03 tests atomic proposed cross-sector mechanism,,,,Archive projects/2012 Projects/2012 Creative Digital Economy Catapult/CDEC challenges paper V2 - draft_IB.docx,extracted_text/SRC-R2-10_v1_full.txt,FINALISED,Finalised confirmed by Iain 26/09/09; archive contains V2 draft; advisory/consultative role,REVIEWED,python-docx,full,85 paras 0 tables; headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/08,v1.1
SRC-R2-11,P10-KIRK,Kirklees Creative Economy 2024 final,report,Iain Bennett,24/09/23,canonical/P10-KIRK/240718 Kirklees Creative Economy 2024 final.docx,executive summary and economic-impact methodology only,internal_only,COMPLETE,primary,KIRK-FAM,CORRECTED: original R2 source was 24/07/18 version (528 paras 18 tables); corrected to Sep 23 final (544 paras 19 tables); 2022 and 2024 reports accepted (confirmed by Iain 26/09/09); 2026 report in progress; P10-KIRK is three-report method evolution case; R2-T04 tests monetary baseline proposition,,,,Archive projects/2021 Projects/2021 Kirklees CI mapping/Reporting/240718 Kirklees Creative Economy 2024 final.docx,extracted_text/SRC-R2-11_v1_full.txt,CANONICAL,24/09/23 final confirmed as canonical; 2022 and 2024 accepted; old extraction from Jul 18 renamed SUPERSEDED,REVIEWED,python-docx,full,19 tables; headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/09,v1.1
SRC-R2-12,,LCR Screen Sector Research Invitation to Quote,tender_itq,LCR (buyer),26,,entire ITQ,internal_only,COMPLETE,primary,LCRFILM-FAM,Buyer-owned staging; real criteria; conflicting dates; missing attached requirements; R2-O01 tests requirement map and as-at test decision; attached technical brief may be needed,,R2-O01,Archive proposals/2026 Proposals lost/2026 LCR Film Impact/LCR Screen Sector Research Invitation to Quote.pdf,extracted_text/SRC-R2-12_v1_full.txt,CANONICAL,Buyer-issued ITQ,REVIEWED,PyPDF2,full,Images/tables/form-fields not captured,original PDF,Devin,26/09/08,v1.1,R2-O01
SRC-R2-13,,British Council Art and Tech RFP document,tender_rfp,British Council (buyer),26,,entire RFP,internal_only,COMPLETE,primary,BCAT-FAM,Explicit analytical requirements; R2-O02 tests buyer-source map and HOLD/other decision; do not use old approach summary as proxy,,R2-O02,Active proposals/2026 British Council Art and Tech/UK_1412RFPdocument.pdf,extracted_text/SRC-R2-13_v1_full.txt,CANONICAL,Buyer-issued RFP,REVIEWED,PyPDF2,full,Images/tables/form-fields not captured,original PDF,Devin,26/09/08,v1.1,R2-O02
SRC-R2-14,,British Council Art and Tech Clarifications,tender_clarification,British Council (buyer),26/09/03,,sheet/cell and question identifiers,internal_only,COMPLETE,primary,BCAT-FAM,Clarification hierarchy; mandatory capability and contract unknowns; preserve sheet/cell and question identifiers,,R2-O02,Active proposals/2026 British Council Art and Tech/UK_1412 - Clarifications 03.09.26.xlsx,extracted_text/SRC-R2-14_v1_full_sheets.csv,CANONICAL,Buyer-issued clarifications,REVIEWED,openpyxl,full,data_only=True cached values; formulas/hidden sheets/formatting not captured,original XLSX,Devin,26/09/08,v1.1,R2-O02
SRC-R2-15,,British Council Art and Tech Annex1 Agreement,tender_agreement_draft,British Council (buyer),26,,draft agreement terms,internal_only,COMPLETE,primary,BCAT-FAM,Draft agreement terms not an executed contract; R2-O02 tests contract unknowns,,R2-O02,Active proposals/2026 British Council Art and Tech/UK_1412-Annex1-Agreement.docx,extracted_text/SRC-R2-15_v1_full.txt,DRAFT,Draft agreement not executed contract,REVIEWED,python-docx,full,Headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/08,v1.1,R2-O02
SRC-R3-01,P02-FGTG,From Good to Great workshop report,workshop_report,Iain Bennett,25/06/17,canonical/P02-FGTG/250617 From Good to Great workshop report.docx,entire report,internal_only,COMPLETE,primary,FGTG-FAM,52 paras 0 tables; workshop DID happen; outcomes recorded; confirms Iain D08 adjudication that workshop occurred and outcomes are in final report outside R2 packet; R3 source for P02-FGTG substantive claims,,,,Archive projects/2024 Projects/2024 Man Met From Good to Great/2025 FGTG reporting/250617 From Good to Great workshop report.docx,extracted_text/SRC-R3-01_v1_full.txt,CANONICAL,Workshop report confirms delivery; outcomes recorded,REVIEWED,python-docx,full,52 paras 0 tables; headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/09,v1.3
SRC-R3-02,P02-FGTG,GMCA FGTG options for devolved approach,options_document,Iain Bennett,25/06/13,canonical/P02-FGTG/250613 GMCA FGTG options for devolved approach.docx,entire document,internal_only,COMPLETE,primary,FGTG-FAM,92 paras 0 tables; strategic options document building on workshop feedback; proposes GM-specific R&D funding process framework; DESIGN/RECOMMENDATION document; R3 source for P02-FGTG option claims,,,,Archive projects/2024 Projects/2024 Man Met From Good to Great/2025 FGTG reporting/250613 GMCA FGTG options for devolved approach.docx,extracted_text/SRC-R3-02_v1_full.txt,CANONICAL,Options document; builds on workshop feedback,REVIEWED,python-docx,full,92 paras 0 tables; headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/09,v1.3
SRC-R3-03,P02-FGTG,FGTG Workshop analysis,workshop_analysis,Steve Hillier,25/06/11,canonical/P02-FGTG/Workshop analysis 110625.docx,entire analysis,internal_only,COMPLETE,primary,FGTG-FAM,62 paras 0 tables; workshop analysis by Steve Hillier; R3 supplementary source for P02-FGTG,,,,Archive projects/2024 Projects/2024 Man Met From Good to Great/2025 FGTG reporting/Workshop analysis 110625.docx,extracted_text/SRC-R3-03_v1_full.txt,CANONICAL,Workshop analysis by Steve Hillier,REVIEWED,python-docx,full,62 paras 0 tables; headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/09,v1.3
SRC-R3-04,P36-DERBYCSR,Derby Culture Strategic Review RFQ,tender_rfq,Derby City Council (buyer),26/06/15,canonical/,entire RFQ including tables 1-8,internal_only,COMPLETE,primary,DERBY-FAM,39 paras 8 tables; buyer-issued RFQ; Below Threshold Procurement Procurement Act 2023; £50K max budget; 7 months; CDP registration required; R2-O02 tested tender gate; now extracted for R3; QA FIX 26/09/11: project_id set to P36-DERBYCSR,,R3-T05,Archive proposals/2026 Proposals lost/2026 Derby/ENQ1304 - Quick Quote Request for Quotation (RFQ).docx,extracted_text/SRC-R3-04_v1_full.txt,CANONICAL,Buyer-issued RFQ; Derby City Council,REVIEWED,python-docx,full,39 paras 8 tables; headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/09,1.3-candidate,R3-T05
SRC-R3-05,P36-DERBYCSR,Derby ENQ1304 Response TheFifthSector v3,tender_response,The Fifth Sector,26/06/29,canonical/,entire response including tables 1-4,internal_only,COMPLETE,primary,DERBY-FAM,64 paras 4 tables; Fifth Sector response v3; £40K ex VAT; 62 days; 5 strands; Foresight platform; team of 6; Iain Bennett lead; bid UNSUCCESSFUL (folder in 2026 Proposals lost); QA FIX 26/09/11: project_id set to P36-DERBYCSR,,R3-T05,Archive proposals/2026 Proposals lost/2026 Derby/Derby_ENQ1304_Response_TheFifthSector_v3.docx,extracted_text/SRC-R3-05_v1_full.txt,CANONICAL,Fifth Sector response v3; bid unsuccessful,REVIEWED,python-docx,full,64 paras 4 tables; headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/09,1.3-candidate,R3-T05
SRC-R3-06,P36-DERBYCSR,Hannah Barker Derby Fathom note,meeting_note,Hannah Barker / Iain Bennett,26/06/24,canonical/,short Fathom recording notice,internal_only,COMPLETE,primary,DERBY-FAM,202 chars; Fathom recording notice from meeting with Hannah Barker; minimal content; QA FIX 26/09/11: project_id set to P36-DERBYCSR,,R3-T05,Archive proposals/2026 Proposals lost/2026 Derby/260624 Hannah Barker Derby.txt,extracted_text/SRC-R3-06_v1_full.txt,SUPPLEMENTARY,Fathom recording notice; minimal content,REVIEWED,txt copy,full,Copied txt file,original TXT,Devin,26/09/09,1.3-candidate,R3-T05
SRC-R3-07,P36-DERBYCSR,Cultural Data Strategy Meeting otter ai transcript,meeting_transcript,Iain Bennett / Nic Millington,26/06/25,canonical/,entire transcript,internal_only,COMPLETE,primary,DERBY-FAM,37407 chars; Otter AI transcript of Cultural Data Strategy meeting; planning discussion for Derby response; QA FIX 26/09/11: project_id set to P36-DERBYCSR,,R3-T05,Archive proposals/2026 Proposals lost/2026 Derby/Cultural Data Strategy Meeting_otter_ai_transcript.txt,extracted_text/SRC-R3-07_v1_full.txt,SUPPLEMENTARY,Otter AI transcript; planning discussion,REVIEWED,txt copy,full,Copied txt file,original TXT,Devin,26/09/09,1.3-candidate,R3-T05
SRC-G2-001,P12-KIRK15,Kirklees 2015 Results xlsx,data_spreadsheet,BOP Consulting / Iain Bennett,15/04/16,canonical/P12-KIRK15/150416 Kirklees Results.xlsx,all 6 sheets,internal_only,COMPLETE,primary,KIRK15-FAM,6 sheets: Trident (CI/CE employment); SOC (culture occupations); Sole Prop; Business size; VAT; GVA; CI employment 3360; CE employment 5020; CI GVA £100.979m; data-only source no narrative report; full read of all 6 sheets,,,,Archive projects/2015 Projects/2015 Kirklees/150416 Kirklees Results.xlsx,extracted_text/SRC-G2-001_v1_full.txt,CANONICAL,Data spreadsheet; no narrative report found in folder; may be in zip,REVIEWED,openpyxl,full,6 sheets; formulas/formatting not captured; data_only=True,original XLSX,Devin,26/09/09,v1.3
SRC-G2-002,P11-ELFC,ELFC Report DIGITAL 170302,report,BOP Consulting / Iain Bennett,17/03/02,canonical/P11-ELFC/170302_ELFC_Report_DIGITAL.docx,full report including all sections and appendices,internal_only,COMPLETE,primary,ELFC-FAM,1502 paras 8 tables 127K chars; main ELFC report; Iain Bennett lead consultant confirmed in Appendix E; commissioned by LCF and GLA; strategy and action plan NOT evaluation; all outcomes are proposals/forecasts; full read confirmed 1697 lines,,,,Archive projects/2017 Projects/2017 East London Fashion Cluster/170302_ELFC_Report_DIGITAL.docx,extracted_text/SRC-G2-002_v1_full.txt,CANONICAL,Main report; Iain Bennett lead consultant; strategy not evaluation,REVIEWED,python-docx,full,8 tables extracted; headers/footers/footnotes/images not captured; 1697 lines read,original DOCX,Devin,26/09/09,v1.3
SRC-G2-003,P11-ELFC,ELFC Summary Report 170314,summary_report,BOP Consulting / Iain Bennett,17/03/14,canonical/P11-ELFC/170314_ELFC_SummaryReport_PRESSQUALITY_FINAL.docx,full summary report,internal_only,COMPLETE,primary,ELFC-FAM,257 paras 6 tables 32K chars; summary report for publication; key baseline data: £1.4bn GVA 36200 jobs 57% growth; 6 tables including GVA breakdown and LQ data; full read confirmed 348 lines,,,,Archive projects/2017 Projects/2017 East London Fashion Cluster/170314_ELFC_SummaryReport_PRESSQUALITY_FINAL.docx,extracted_text/SRC-G2-003_v1_full.txt,CANONICAL,Summary report; press quality final,REVIEWED,python-docx,full,6 tables; headers/footers/footnotes/images not captured; 348 lines read,original DOCX,Devin,26/09/09,v1.3
SRC-G2-004,P11-ELFC,ELFC case for intervention v2 IB,economic_rationale_note,Iain Bennett,16/10/05,canonical/P11-ELFC/161005 East London Fashion Cluster case for intervention v2_IB.docx,full note,internal_only,COMPLETE,primary,ELFC-FAM,86 paras 0 tables 12K chars; Iain Bennett-authored case for intervention; GLA Economics perspective on market failure and cluster theory; explicitly asks for evidence of spillover effects; full read confirmed 85 lines,,,,Archive projects/2017 Projects/2017 East London Fashion Cluster/161005 East London Fashion Cluster case for intervention v2_IB.docx,extracted_text/SRC-G2-004_v1_full.txt,CANONICAL,Iain Bennett-authored case for intervention; GLA Economics perspective,REVIEWED,python-docx,full,0 tables; headers/footers/footnotes/images not captured; 85 lines read,original DOCX,Devin,26/09/09,v1.3
SRC-G2-005,P11-ELFC,ELFC Action Plan final v3.0 clean,action_plan,BOP Consulting / Iain Bennett,17/03/14,canonical/P11-ELFC/170314 ELFC Action Plan final v3.0 clean.docx,full action plan,internal_only,COMPLETE,primary,ELFC-FAM,67 paras 0 tables 7.6K chars; action plan with 4 proposed interventions: ELFC SPV; Skills Framework; Workspace Alliance; London Fashion Fund; Fashion Tech R&D Showcase; full read confirmed 67 lines,,,,Archive projects/2017 Projects/2017 East London Fashion Cluster/170314 ELFC Action Plan final v3.0 clean.docx,extracted_text/SRC-G2-005_v1_full.txt,CANONICAL,Action plan v3.0; 4 proposed interventions,REVIEWED,python-docx,full,0 tables; headers/footers/footnotes/images not captured; 67 lines read,original DOCX,Devin,26/09/09,v1.3
SRC-G2-006,P13-CWL,CWL Final evaluation report,report,BOP Consulting / Iain Bennett,16/06/01,canonical/P13-CWL/160601_CWL_Final.docx,full report,internal_only,COMPLETE,primary,CWL-FAM,258 paras 1 table 20K chars; BOP evaluation of Creativeworks London KE Hub; identifies spillover evidence gap; counterfactual reasoning; proposes exploitation strategy; full read confirmed 277 lines,,,,Archive projects/2016 Projects/2016 Creativeworks London/160601_CWL_Final.docx,extracted_text/SRC-G2-006_v1_full.txt,CANONICAL,BOP evaluation; Iain Bennett contributed,REVIEWED,python-docx,full,1 table; headers/footers/footnotes/images not captured; 277 lines read,original DOCX,Devin,26/09/09,v1.3
SRC-G2-007,P14-DCAT,Engaging with New Realities IB PDF,report_pdf,BOP Consulting / Iain Bennett,18/03/18,canonical/P14-DCAT/180318_Digital_Catapault_Report_IB.pdf,full report 26 pages,internal_only,COMPLETE,primary,DCAT-FAM,2748 lines 126K chars; main published report; Iain Bennett lead consultant; 500 companies mapped; 9 UK clusters; international case studies (Vancouver Shanghai); barriers and opportunities analysis; full read confirmed 2748 lines,,,,Archive projects/2018 Projects/2018 Digital Catapult immersive/180318_Digital_Catapault_Report_IB.pdf,extracted_text/SRC-G2-007_v1_full.txt,CANONICAL,Main published report; IB version,REVIEWED,PyPDF2,full,26 pages; images/tables/form-fields not captured; 2748 lines read,original PDF,Devin,26/09/09,v1.3
SRC-G2-008,P14-DCAT,Digital Catapult Technical Report,technical_report,BOP Consulting / Iain Bennett,18/03/19,canonical/P14-DCAT/BEI-WP7_Technical-report.docx,full technical report with appendices,internal_only,COMPLETE,primary,DCAT-FAM,432 paras 9 tables 80K chars; technical report with detailed cluster case studies; SIA review; KTP analysis; research facility profiles; full read confirmed 788 lines,,,,Archive projects/2018 Projects/2018 Digital Catapult immersive/BEI-WP7_Technical-report.docx,extracted_text/SRC-G2-008_v1_full.txt,CANONICAL,Technical report with detailed appendices,REVIEWED,python-docx,full,9 tables; headers/footers/footnotes/images not captured; 788 lines read,original DOCX,Devin,26/09/09,v1.3
SRC-G2-009,P15-LIVMUS,Liverpool City of Music strategy draft final report,report_draft,BOP Consulting / Iain Bennett,18/01/09,canonical/P15-LIVMUS/180109 Liverpool City of Music strategy draft final report.docx,full draft,internal_only,COMPLETE,primary,LIVMUS-FAM,532 paras 5 tables 98K chars; draft version dated 18/01; core music sector turnover £108.6m (revised to £100.5m in final); substantially same as final with minor revisions; full read confirmed 638 lines,,,,Archive projects/2017 Projects/2017 Liverpool City of Music/180109 Liverpool City of Music strategy draft final report.docx,extracted_text/SRC-G2-009_v1_full.txt,SUPERSEDED,Draft superseded by 18/02 final; turnover figure revised,REVIEWED,python-docx,full,5 tables; headers/footers/footnotes/images not captured; 638 lines read,original DOCX,Devin,26/09/09,v1.3
SRC-G2-010,P15-LIVMUS,Liverpool City of Music strategy 18/02,report,BOP Consulting / Iain Bennett,18/02/06,canonical/P15-LIVMUS/Liverpool City of Music strategy 18/02.docx,full strategy,internal_only,COMPLETE,primary,LIVMUS-FAM,588 paras 7 tables 113K chars; final strategy; core music sector £100.5m turnover 2360 jobs; Beatles heritage £98m; 60+ consultees; 3 scenarios; strategic operational and capital recommendations; full read confirmed 831 lines,,,,Archive projects/2017 Projects/2017 Liverpool City of Music/Liverpool City of Music strategy 18/02.docx,extracted_text/SRC-G2-010_v1_full.txt,CANONICAL,Final strategy 18/02; supersedes January draft,REVIEWED,python-docx,full,7 tables; headers/footers/footnotes/images not captured; 831 lines read,original DOCX,Devin,26/09/09,v1.3
SRC-G2-011,P16-CICP,CICP evaluation approach final,evaluation_approach,Frontier Economics / BOP Consulting,20,canonical/P16-CICP/ProJ 1.1- approach-final.docx,entire approach document,internal_only,COMPLETE,primary,CICP-FAM,84 paras 1 table; evaluation approach design not outcome report; Fifth Sector contributed mapping and methodology via BOP; marginal claim; Iain confirmed 26/09/11,Archive projects/Google project folders/2020/UKRI AHRC - Creative Industries Clusters Progr - (2020-2024)/ProJ 1.1- approach-final.docx,extracted_text/SRC-G2-011_v1_full.txt,CANONICAL,Evaluation approach document; not outcome report,REVIEWED,python-docx,full,1 table; headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-012,P17-LCRCSU,Leeds City Region Creative Scale Up v2.0,report,Iain Bennett / The Fifth Sector,20/07/30,canonical/P17-LCRCSU/200730 Leeds CIty Region Creative Scale Up v2.0.docx,full report,internal_only,COMPLETE,primary,LCRCSU-FAM,200 paras 1 table; Iain Bennett lead consultant (line 198); bid evidence base not outcome evaluation; BRES ONS LQ analysis; Channel 4 relocation context,Archive projects/2020 Projects/2020 Leeds City Region Creative Scale Up/200730 Leeds CIty Region Creative Scale Up v2.0.docx,extracted_text/SRC-G2-012_v1_full.txt,CANONICAL,Bid evidence base; Iain Bennett lead consultant,REVIEWED,python-docx,full,1 table; headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-013,P18-GRIMSBY,NELC Phase 1 Report FINAL,report_pdf,Magna Vitae,20,canonical/P18-GRIMSBY/NELC Phase 1 Report FINAL.pdf,full report,internal_only,COMPLETE,primary,GRIMSBY-FAM,60 pages; Magna Vitae authored; Fifth Sector contributed mapping data (Iain confirmed 26/09/11); participation baselines from national surveys; no economic output data; design propositions not outcomes,Archive projects/2020 Projects/2020 Grimsby CCI/NELC Phase 1 Report FINAL.pdf,extracted_text/SRC-G2-013_v1_full.txt,CANONICAL,Magna Vitae report; Fifth Sector data contributor,REVIEWED,PyPDF2,full,60 pages; images/tables not captured,original PDF,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-014,P19-LCRIMM,LCR Immersive Sector final report 20/05,report_pdf,Iain Bennett / Marta Moretto / BOP Consulting,20/05,canonical/P19-LCRIMM/Liverpool City Region Immersive Sector final report 20/05.pdf,full report,internal_only,COMPLETE,primary,LCRIMM-FAM,57 pages; Iain Bennett as BOP author (line 18); 169 organisations mapped; survey n=56; cross-sector case studies; work began 2019 delivered 20/05; post-2020 replacement per Iain,Archive projects/2019 Projects/2019 LCR Growth Company Immersive tech/Reporting/Liverpool City Region Immersive Sector final report 20/05.pdf,extracted_text/SRC-G2-014_v1_full.txt,CANONICAL,Final report; Iain Bennett as BOP author,REVIEWED,PyPDF2,full,57 pages; images/tables not captured,original PDF,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-015,P20-SYMCA21,SYMCA Cultural and Creative Industries 1.1,report,The Fifth Sector,22/06/08,canonical/P20-SYMCA21/200608 SYMCA Cultural and Creative Industries 1.1.docx,full report,internal_only,COMPLETE,primary,SYMCA21-FAM,324 paras; Fifth Sector lead with Curator Technologies and Morra; BRES LinkedIn IDBR Companies House FAME Beauhurst; 4000+ companies 31000 workforce; creative growth paradox,Archive projects/2021 Projects/2021 SYMCA CCI research/200608 SYMCA Cultural and Creative Industries 1.1.docx,extracted_text/SRC-G2-015_v1_full.txt,CANONICAL,Fifth Sector lead consultant,REVIEWED,python-docx,full,headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
